name,host_star,ltr,disc_year,orb_period_ed,radius_e,temp_f,circumference_k,mass_e,density_e,temp_c,habit_code,solar_flux,circumference_m,disc_facility,disc_method
K2-221 b,K2-221,b,2018,2.4,1.679,,"67,211",3.5,0.7296,,0,,"41,765",K2,Transit
K2-222 b,K2-222,b,2018,15.39,2.39,1499.0,"95,672",6.3,0.461,1013.0,0,,"59,452",K2,Transit
K2-223 b,K2-223,b,2018,0.51,0.89,4145.0,"35,627",0.6,0.9056,2483.0,0,,"22,139",K2,Transit
K2-223 c,K2-223,c,2018,4.56,1.57,2021.0,"62,847",3.1,0.7967,1303.0,0,,"39,054",K2,Transit
K2-224 b,K2-224,b,2018,4.48,1.56,1861.0,"62,447",3.0,0.8004,1214.0,0,,"38,805",K2,Transit
K2-224 c,K2-224,c,2018,10.09,2.41,1433.0,"96,473",6.4,0.4555,976.0,0,,"59,949",K2,Transit
K2-225 b,K2-225,b,2018,15.87,3.49,1681.0,"139,705",12.0,0.2813,1114.0,0,,"86,814",K2,Transit
K2-226 b,K2-226,b,2018,3.27,1.54,2074.0,"61,646",3.0,0.8167,1332.0,0,,"38,308",K2,Transit
K2-227 b,K2-227,b,2018,13.62,1.666,,"66,690",3.4,0.7368,,0,,"41,442",K2,Transit
K2-228 b,K2-228,b,2018,2.7,1.21,1703.0,"48,437",1.9,1.0817,1126.0,0,,"30,099",K2,Transit
K2-229 b,K2-229,b,2018,0.58,1.14,3330.0,"45,634",2.5,1.6152,2030.0,0,,"28,358",K2,Transit
K2-229 c,K2-229,c,2018,8.33,2.03,1408.0,"81,261",21.3,2.323,962.0,0,,"50,497",K2,Transit
K2-230 b,K2-230,b,2018,2.86,1.96,2810.0,"78,459",4.5,0.5953,1741.0,0,,"48,755",K2,Transit
K2-231 b,K2-231,b,2018,13.84,2.5,,"100,075",6.8,0.4338,,0,,"62,188",K2,Transit
K2-232 b,K2-232,b,2018,11.17,11.209,1912.0,"448,698",126.5,0.0735,1242.0,0,,"278,825",K2,Transit
K2-233 b,K2-233,b,2018,2.47,1.398,1930.0,"55,962",2.5,0.9274,1252.0,0,273,"34,775",K2,Transit
K2-233 c,K2-233,c,2018,7.06,1.335,1368.0,"53,440",2.3,0.98,940.0,0,67.1,"33,208",K2,Transit
K2-233 d,K2-233,d,2018,24.37,2.64,925.0,"105,680",7.5,0.4047,694.0,0,12.9,"65,670",K2,Transit
K2-237 b,K2-237,b,2018,2.18,18.405,3366.0,"736,755",392.8,0.0672,2050.0,0,,"457,827",K2,Transit
K2-238 b,K2-238,b,2018,3.2,14.572,2914.0,"583,320",273.3,0.1016,1799.0,0,,"362,480",K2,Transit
K2-239 b,K2-239,b,2018,5.24,1.1,961.0,"44,033",1.4,1.0272,714.0,0,,"27,363",K2,Transit
K2-239 c,K2-239,c,2018,7.78,1.0,826.0,"40,030",1.0,0.9691,639.0,0,,"24,875",K2,Transit
K2-239 d,K2-239,d,2018,10.12,1.1,776.0,"44,033",1.4,1.0272,611.0,0,,"27,363",K2,Transit
K2-24 b,K2-24,b,2016,20.89,5.4,1334.0,"216,163",19.0,0.1162,921.0,0,60.1,"134,326",K2,Transit
K2-24 c,K2-24,c,2016,42.34,7.5,1066.0,"300,226",15.4,0.0363,772.0,0,23.4,"186,563",K2,Transit
K2-240 b,K2-240,b,2018,6.03,2.0,1112.0,"80,060",4.7,0.5808,798.0,0,,"49,750",K2,Transit
K2-240 c,K2-240,c,2018,20.52,1.8,758.0,"72,054",3.9,0.6661,601.0,0,,"44,775",K2,Transit
K2-241 b,K2-241,b,2018,26.82,2.55,970.0,"102,077",7.0,0.4229,719.0,0,,"63,432",K2,Transit
K2-242 b,K2-242,b,2018,6.51,2.54,806.0,"101,677",7.0,0.4247,628.0,0,,"63,183",K2,Transit
K2-243 b,K2-243,b,2018,11.54,2.17,1921.0,"86,865",5.4,0.5227,1247.0,0,,"53,979",K2,Transit
K2-243 c,K2-243,c,2018,24.95,2.01,1499.0,"80,461",4.7,0.5771,1013.0,0,,"49,999",K2,Transit
K2-244 b,K2-244,b,2018,21.07,1.75,1206.0,"70,053",3.7,0.6897,850.0,0,,"43,531",K2,Transit
K2-245 b,K2-245,b,2018,11.89,4.34,1719.0,"173,731",17.4,0.2123,1135.0,0,,"107,958",K2,Transit
K2-246 b,K2-246,b,2018,5.77,3.49,1816.0,"139,705",12.0,0.2813,1189.0,0,,"86,814",K2,Transit
K2-247 b,K2-247,b,2018,2.25,2.12,1820.0,"84,864",5.1,0.5372,1191.0,0,,"52,735",K2,Transit
K2-247 c,K2-247,c,2018,6.49,2.19,1296.0,"87,666",5.4,0.5154,900.0,0,,"54,477",K2,Transit
K2-248 b,K2-248,b,2018,7.17,2.57,1652.0,"102,878",7.1,0.4192,1098.0,0,,"63,929",K2,Transit
K2-249 b,K2-249,b,2018,12.41,2.79,1967.0,"111,684",8.2,0.3757,1273.0,0,,"69,402",K2,Transit
K2-25 b,K2-25,b,2015,3.48,3.43,,"137,303",11.6,0.2868,,0,,"85,322",K2,Transit
K2-250 b,K2-250,b,2018,4.01,2.44,1782.0,"97,674",6.5,0.4483,1170.0,0,,"60,695",K2,Transit
K2-251 b,K2-251,b,2018,9.3,2.35,844.0,"94,071",6.1,0.4701,649.0,0,,"58,457",K2,Transit
K2-252 b,K2-252,b,2018,13.82,1.74,1208.0,"69,653",3.7,0.6969,851.0,0,,"43,283",K2,Transit
K2-253 b,K2-253,b,2018,4.0,12.67,2286.0,"507,182",,,1450.0,0,,"315,168",K2,Transit
K2-254 b,K2-254,b,2018,4.1,1.63,1481.0,"65,249",3.3,0.7568,1003.0,0,,"40,546",K2,Transit
K2-254 c,K2-254,c,2018,12.12,2.19,1049.0,"87,666",5.4,0.5154,763.0,0,,"54,477",K2,Transit
K2-255 b,K2-255,b,2018,1.96,2.9,1919.0,"116,088",8.8,0.3575,1246.0,0,,"72,138",K2,Transit
K2-256 b,K2-256,b,2018,5.52,2.63,1579.0,"105,279",7.4,0.4065,1057.0,0,,"65,422",K2,Transit
K2-257 b,K2-257,b,2018,1.61,0.83,1478.0,"33,225",0.5,0.8693,1001.0,0,,"20,646",K2,Transit
K2-258 b,K2-258,b,2018,19.09,3.0,1553.0,"120,091",9.3,0.343,1043.0,0,,"74,625",K2,Transit
K2-259 b,K2-259,b,2018,15.48,2.32,1489.0,"92,870",6.0,0.4791,1007.0,0,,"57,710",K2,Transit
K2-26 b,K2-26,b,2016,14.57,2.67,832.0,"106,881",7.6,0.3993,642.0,0,5.8,"66,417",K2,Transit
K2-260 b,K2-260,b,2018,2.63,17.396,3580.0,"696,365",451.3,0.0907,2169.0,0,,"432,728",K2,Transit
K2-261 b,K2-261,b,2018,11.63,9.528,2002.0,"381,407",70.9,0.0877,1292.0,0,,"237,010",K2,Transit
K2-263 b,K2-263,b,2018,50.82,2.41,904.0,"96,473",14.8,1.0345,682.0,0,,"59,949",K2,Transit
K2-264 b,K2-264,b,2018,5.84,2.231,950.0,"89,307",5.6,0.5045,708.0,0,,"55,496",K2,Transit
K2-264 c,K2-264,c,2018,19.66,2.668,653.0,"106,801",7.6,0.3993,543.0,0,,"66,367",K2,Transit
K2-265 b,K2-265,b,2018,2.37,1.71,,"68,452",6.5,1.2886,,0,,"42,536",K2,Transit
K2-266 b,K2-266,b,2018,0.66,3.3,2785.0,"132,100",11.3,0.3212,1727.0,0,879.5,"82,088",K2,Transit
K2-266 c,K2-266,c,2018,7.81,0.705,1253.0,"28,221",0.3,0.8185,876.0,0,32.4,"17,537",K2,Transit
K2-266 d,K2-266,d,2018,14.7,2.93,1026.0,"117,288",8.9,0.3684,750.0,0,13.95,"72,884",K2,Transit
K2-266 e,K2-266,e,2018,19.48,2.73,940.0,"109,282",14.3,0.4011,702.0,0,9.58,"67,909",K2,Transit
K2-268 b,K2-268,b,2018,2.15,1.41,2075.0,"56,443",2.6,0.9147,1333.0,0,,"35,074",K2,Transit
K2-268 c,K2-268,c,2018,9.33,2.69,1296.0,"107,681",7.7,0.3938,900.0,0,,"66,914",K2,Transit
K2-269 b,K2-269,b,2018,4.14,1.57,2630.0,"62,847",3.1,0.7967,1641.0,0,,"39,054",K2,Transit
K2-27 b,K2-27,b,2016,6.77,4.48,1681.0,"179,335",30.9,0.3394,1114.0,0,116,"111,441",K2,Transit
K2-270 b,K2-270,b,2018,1.54,1.38,2223.0,"55,242",2.5,0.9419,1415.0,0,,"34,328",K2,Transit
K2-270 c,K2-270,c,2018,4.4,2.95,1584.0,"118,089",9.0,0.3503,1060.0,0,,"73,382",K2,Transit
K2-271 b,K2-271,b,2018,8.56,7.28,1665.0,"291,420",41.8,0.108,1105.0,0,,"181,091",K2,Transit
K2-272 b,K2-272,b,2018,14.45,2.91,1237.0,"116,488",8.8,0.3557,867.0,0,,"72,387",K2,Transit
K2-273 b,K2-273,b,2018,11.72,4.42,1267.0,"176,933",17.9,0.2069,884.0,0,,"109,948",K2,Transit
K2-274 b,K2-274,b,2018,14.13,2.2,1118.0,"88,066",5.5,0.5136,801.0,0,,"54,725",K2,Transit
K2-275 b,K2-275,b,2018,3.28,2.24,1687.0,"89,668",5.6,0.5009,1117.0,0,,"55,720",K2,Transit
K2-275 c,K2-275,c,2018,8.44,2.34,1246.0,"93,671",6.1,0.4737,872.0,0,,"58,208",K2,Transit
K2-276 b,K2-276,b,2018,18.72,3.77,1107.0,"150,914",13.7,0.2541,795.0,0,,"93,779",K2,Transit
K2-277 b,K2-277,b,2018,6.33,2.07,1782.0,"82,862",4.9,0.5554,1170.0,0,,"51,492",K2,Transit
K2-278 b,K2-278,b,2018,3.33,2.98,3137.0,"119,290",9.2,0.3448,1923.0,0,,"74,128",K2,Transit
K2-279 b,K2-279,b,2018,7.12,1.21,1640.0,"48,437",1.9,1.0817,1091.0,0,,"30,099",K2,Transit
K2-28 b,K2-28,b,2016,2.26,2.32,1080.0,"92,870",6.0,0.4791,780.0,0,30.1,"57,710",K2,Transit
K2-280 b,K2-280,b,2018,19.9,7.67,1397.0,"307,031",45.6,0.1007,956.0,0,,"190,792",K2,Transit
K2-281 b,K2-281,b,2018,8.69,8.18,1255.0,"327,447",50.9,0.0927,877.0,0,,"203,479",K2,Transit
K2-282 b,K2-282,b,2018,4.17,2.82,1960.0,"112,885",8.4,0.3721,1269.0,0,,"70,148",K2,Transit
K2-283 b,K2-283,b,2018,1.92,3.52,2192.0,"140,906",12.2,0.2795,1398.0,0,,"87,560",K2,Transit
K2-284 b,K2-284,b,2018,4.8,2.78,1233.0,"111,284",8.2,0.3775,865.0,0,42.6,"69,153",K2,Transit
K2-285 b,K2-285,b,2018,3.47,2.59,2018.0,"103,678",9.7,0.5572,1301.0,0,234.31,"64,427",K2,Transit
K2-285 c,K2-285,c,2018,7.14,3.53,1391.0,"141,307",15.7,0.3539,953.0,0,50.35,"87,809",K2,Transit
K2-285 d,K2-285,d,2018,10.46,2.48,1174.0,"99,275",6.5,,832.0,0,24.61,"61,690",K2,Transit
K2-285 e,K2-285,e,2018,14.76,1.95,959.0,"78,059",10.7,,713.0,0,10.5,"48,507",K2,Transit
K2-286 b,K2-286,b,2018,27.36,2.1,682.0,"84,063",5.1,0.5445,559.0,0,,"52,238",K2,Transit
K2-287 b,K2-287,b,2018,14.89,9.494,1505.0,"380,046",100.1,0.1167,1016.0,0,,"236,164",K2,Transit
K2-288 B b,K2-288 B,b,2018,31.39,1.9,464.0,"76,057",4.3,0.6207,438.0,0,,"47,263",K2,Transit
K2-289 b,K2-289,b,2019,13.16,9.1,1413.0,"364,275",61.0,0.0808,965.0,0,,"226,364",K2,Transit
K2-29 b,K2-29,b,2016,3.26,13.339,2165.0,"533,962",232.0,0.0962,1383.0,0,293,"331,809",K2,Transit
K2-290 b,K2-290,b,2019,9.21,3.06,2272.0,"122,492",10.9,0.7441,1442.0,0,,"76,118",K2,Transit
K2-290 c,K2-290,c,2019,48.37,11.276,1274.0,"451,380",246.0,0.1833,888.0,0,,"280,492",K2,Transit
K2-291 b,K2-291,b,2019,2.23,1.589,,"63,608",6.5,1.6044,,0,633,"39,527",K2,Transit
K2-292 b,K2-292,b,2019,16.98,2.63,1489.0,"105,279",24.5,1.343,1007.0,0,67,"65,422",K2,Transit
K2-293 b,K2-293,b,2019,13.12,2.45,1408.0,"98,074",6.6,0.4446,962.0,0,,"60,944",K2,Transit
K2-294 b,K2-294,b,2019,2.5,1.66,2623.0,"66,450",3.4,0.7387,1637.0,0,,"41,293",K2,Transit
K2-295 b,K2-295,b,2018,4.02,10.054,1591.0,"402,463",106.5,0.1111,1064.0,0,,"250,095",K2,Transit
K2-3 b,K2-3,b,2015,10.05,1.98,965.0,"79,260",6.5,0.6715,716.0,0,5.8,"49,253",K2,Transit
K2-3 c,K2-3,c,2015,24.65,1.56,731.0,"62,447",2.1,0.5408,586.0,0,1.77,"38,805",K2,Transit
K2-3 d,K2-3,d,2015,44.56,1.53,565.0,"61,246",2.8,1.02,494.0,0,0.8,"38,059",K2,Transit
K2-30 b,K2-30,b,2016,4.1,11.646,2023.0,"466,191",184.0,0.1162,1304.0,0,299,"289,696",K2,Transit
K2-308 b,K2-308,b,2019,3.39,9.916,,"396,939",70.6,0.0722,,0,,"246,662",K2,Transit
K2-31 b,K2-31,b,2016,1.26,11.882,,"475,639",563.8,0.3358,,0,1272,"295,566",K2,Transit
K2-315 b,K2-315,b,2020,3.14,0.95,886.0,"38,029",0.8,0.9401,672.0,0,7.45,"23,631",K2,Transit
K2-316 b,K2-316,b,2020,1.13,1.33,1571.0,"53,240",2.3,0.9873,1053.0,0,,"33,084",K2,Transit
K2-316 c,K2-316,c,2020,5.26,1.83,819.0,"73,255",4.0,0.6534,635.0,0,,"45,521",K2,Transit
K2-317 b,K2-317,b,2020,6.22,2.93,835.0,"117,288",8.9,0.3539,644.0,0,,"72,884",K2,Transit
K2-318 b,K2-318,b,2020,7.01,1.66,878.0,"66,450",3.4,0.7387,668.0,0,,"41,293",K2,Transit
K2-319 b,K2-319,b,2020,26.68,2.79,1211.0,"111,684",8.2,0.3757,853.0,0,,"69,402",K2,Transit
K2-32 b,K2-32,b,2016,8.99,4.96,1528.0,"198,550",16.5,0.1216,1029.0,0,77.7,"123,381",K2,Transit
K2-32 c,K2-32,c,2016,20.66,2.74,1172.0,"109,683",12.1,0.49,831.0,0,25.6,"68,158",K2,Transit
K2-32 d,K2-32,d,2016,31.71,3.27,1024.0,"130,899",10.3,0.2505,749.0,0,14.5,"81,342",K2,Transit
K2-32 e,K2-32,e,2019,4.35,1.01,,"40,430",1.0,0.9782,,0,,"25,124",K2,Transit
K2-320 b,K2-320,b,2020,2.0,2.62,1314.0,"104,879",7.4,0.4083,910.0,0,,"65,173",K2,Transit
K2-321 b,K2-321,b,2020,2.3,1.95,1319.0,"78,059",4.5,0.6007,913.0,0,,"48,507",K2,Transit
K2-322 b,K2-322,b,2020,8.2,1.92,1201.0,"76,858",4.4,0.6134,847.0,0,,"47,760",K2,Transit
K2-323 b,K2-323,b,2020,24.93,2.1,630.0,"84,063",5.1,0.5445,530.0,0,,"52,238",K2,Transit
K2-324 b,K2-324,b,2020,3.26,2.43,1330.0,"97,273",6.5,0.4501,919.0,0,,"60,447",K2,Transit
K2-325 b,K2-325,b,2020,6.93,2.2,819.0,"88,066",5.5,0.5136,635.0,0,,"54,725",K2,Transit
K2-326 b,K2-326,b,2020,1.26,2.28,2063.0,"91,269",5.8,0.49,1326.0,0,,"56,715",K2,Transit
K2-33 b,K2-33,b,2016,5.42,5.04,1588.0,"201,752",1176.0,,1062.0,0,,"125,371",K2,Transit
K2-34 b,K2-34,b,2016,3.0,13.96,2864.0,"558,821",539.7,0.1706,1771.0,0,,"347,257",K2,Transit
K2-35 b,K2-35,b,2016,5.61,1.93,1820.0,"77,258",4.4,0.608,1191.0,0,68,"48,009",K2,Transit
K2-35 c,K2-35,c,2016,2.4,1.32,1436.0,"52,840",2.3,0.9982,978.0,0,211,"32,835",K2,Transit
K2-36 b,K2-36,b,2016,1.42,1.43,2261.0,"57,243",3.9,1.3067,1436.0,0,529,"35,571",K2,Transit
K2-36 c,K2-36,c,2016,5.34,3.2,1476.0,"128,097",7.8,0.2359,1000.0,0,90,"79,600",K2,Transit
K2-37 b,K2-37,b,2016,4.44,1.61,1811.0,"64,449",3.2,0.7695,1186.0,0,213.3,"40,049",K2,Transit
K2-37 c,K2-37,c,2016,6.43,2.75,1607.0,"110,083",8.0,0.3829,1073.0,0,130.3,"68,407",K2,Transit
K2-37 d,K2-37,d,2016,14.09,2.73,1251.0,"109,282",7.9,0.3866,875.0,0,45.7,"67,909",K2,Transit
K2-38 b,K2-38,b,2016,4.02,1.906,2189.0,"76,298",19.1,3.176,1396.0,0,465.9,"47,412",K2,Transit
K2-38 c,K2-38,c,2016,10.56,2.42,1602.0,"96,873",9.9,0.6534,1070.0,0,128.3,"60,198",K2,Transit
K2-39 b,K2-39,b,2016,4.61,6.277,3064.0,"251,269",28.6,0.0907,1882.0,0,1356,"156,141",K2,Transit
K2-4 b,K2-4,b,2015,10.0,2.1,1071.0,"84,063",5.1,0.5445,775.0,0,15.6,"52,238",K2,Transit
K2-42 b,K2-42,b,2016,6.69,2.15,,"86,065",5.3,0.5281,,0,44.1,"53,482",K2,Transit
K2-43 b,K2-43,b,2016,3.47,4.51,1748.0,"180,536",18.5,0.2015,1151.0,0,49,"112,187",K2,Transit
K2-43 c,K2-43,c,2019,2.2,2.42,2027.0,"96,873",6.4,0.4537,1306.0,0,,"60,198",K2,Transit
K2-44 b,K2-44,b,2016,5.66,2.72,2237.0,"108,882",7.8,0.3884,1423.0,0,646,"67,660",K2,Transit
K2-45 b,K2-45,b,2016,1.73,6.71,,"268,602",36.4,0.1201,,0,100,"166,912",K2,Transit
K2-46 b,K2-46,b,2016,19.15,2.05,1658.0,"82,062",4.9,0.5626,1101.0,0,119,"50,994",K2,Transit
K2-47 b,K2-47,b,2016,31.64,1.89,,"75,657",4.2,0.6243,,0,10.7,"47,014",K2,Transit
K2-48 b,K2-48,b,2016,20.51,2.24,,"89,668",5.6,0.5009,,0,15.3,"55,720",K2,Transit
K2-49 b,K2-49,b,2016,2.77,1.93,,"77,258",4.4,0.608,,0,59,"48,009",K2,Transit
K2-5 b,K2-5,b,2015,5.74,1.91,1075.0,"76,458",4.3,0.6171,777.0,0,24.1,"47,511",K2,Transit
K2-5 c,K2-5,c,2015,10.93,2.26,878.0,"90,468",5.7,0.4955,668.0,0,10.2,"56,218",K2,Transit
K2-50 b,K2-50,b,2016,8.75,1.59,,"63,648",3.2,0.7822,,0,18.8,"39,551",K2,Transit
K2-52 b,K2-52,b,2016,3.54,18.0,3665.0,"720,543",45700.0,7.8221,2216.0,0,1124,"447,752",K2,Transit
K2-53 b,K2-53,b,2016,12.21,2.6,1255.0,"104,078",7.3,0.412,877.0,0,52.5,"64,675",K2,Transit
K2-54 b,K2-54,b,2016,9.78,1.15,,"46,035",1.6,1.049,,0,6.1,"28,606",K2,Transit
K2-55 b,K2-55,b,2016,2.85,3.82,,"152,915",14.0,0.2505,,0,115,"95,023",K2,Transit
K2-57 b,K2-57,b,2016,9.01,2.1,,"84,063",5.1,0.5445,,0,24.1,"52,238",K2,Transit
K2-58 b,K2-58,b,2016,7.05,2.68,,"107,281",7.6,0.3956,,0,118,"66,665",K2,Transit
K2-58 c,K2-58,c,2016,2.54,1.62,,"64,849",3.3,0.7641,,0,462,"40,298",K2,Transit
K2-58 d,K2-58,d,2016,22.88,1.71,,"68,452",3.6,0.7114,,0,24.6,"42,536",K2,Transit
K2-59 b,K2-59,b,2016,20.69,2.41,,"96,473",6.4,0.4555,,0,17.1,"59,949",K2,Transit
K2-59 c,K2-59,c,2016,11.3,2.3,,"92,069",5.9,0.4828,,0,38.3,"57,213",K2,Transit
K2-6 b,K2-6,b,2015,30.94,2.5,1165.0,"100,075",6.8,0.4338,827.0,0,28.6,"62,188",K2,Transit
K2-60 b,K2-60,b,2016,3.0,7.656,2578.0,"306,471",135.4,0.3085,1612.0,0,1212,"190,444",K2,Transit
K2-61 b,K2-61,b,2016,2.57,2.48,,"99,275",6.7,0.4392,,0,1686,"61,690",K2,Transit
K2-62 b,K2-62,b,2016,6.67,2.14,,"85,665",5.2,0.5318,,0,66,"53,233",K2,Transit
K2-62 c,K2-62,c,2016,16.2,2.14,,"85,665",5.2,0.5318,,0,20.5,"53,233",K2,Transit
K2-63 b,K2-63,b,2016,20.26,3.22,,"128,897",10.5,0.314,,0,188,"80,098",K2,Transit
K2-63 c,K2-63,c,2016,25.46,3.9,,"156,118",14.5,0.2432,,0,139,"97,013",K2,Transit
K2-64 b,K2-64,b,2016,6.53,2.07,,"82,862",4.9,0.5554,,0,98,"51,492",K2,Transit
K2-65 b,K2-65,b,2016,12.65,1.58,,"63,248",3.1,0.7895,,0,45,"39,303",K2,Transit
K2-66 b,K2-66,b,2016,5.07,2.49,2527.0,"99,675",21.3,1.4156,1584.0,0,840,"61,939",K2,Transit
K2-68 b,K2-68,b,2016,8.05,1.58,,"63,248",3.1,0.7895,,0,41,"39,303",K2,Transit
K2-69 b,K2-69,b,2016,7.07,2.32,,"92,870",6.0,0.4791,,0,17.9,"57,710",K2,Transit
K2-7 b,K2-7,b,2015,28.68,2.67,1229.0,"106,881",7.6,0.3993,863.0,0,125,"66,417",K2,Transit
K2-70 b,K2-70,b,2016,13.98,2.89,,"115,687",8.7,0.3593,,0,62,"71,889",K2,Transit
K2-71 b,K2-71,b,2016,6.99,2.15,,"86,065",5.3,0.5281,,0,13.4,"53,482",K2,Transit
K2-72 b,K2-72,b,2016,5.58,1.08,,"43,233",1.3,1.0127,,0,8.5,"26,865",K2,Transit
K2-72 c,K2-72,c,2016,15.19,1.16,,"46,435",1.6,1.0544,,0,2.2,"28,855",K2,Transit
K2-72 d,K2-72,d,2016,7.76,1.01,,"40,430",1.0,0.9782,,0,5.4,"25,124",K2,Transit
K2-72 e,K2-72,e,2016,24.16,1.29,,"51,639",2.2,1.0272,,0,1.2,"32,089",K2,Transit
K2-73 b,K2-73,b,2016,7.5,2.45,,"98,074",6.6,0.4446,,0,213,"60,944",K2,Transit
K2-74 b,K2-74,b,2016,19.57,2.31,,"92,470",6.0,0.4809,,0,59.1,"57,462",K2,Transit
K2-75 b,K2-75,b,2016,7.81,2.67,,"106,881",7.6,0.3993,,0,430,"66,417",K2,Transit
K2-75 c,K2-75,c,2016,18.31,2.77,,"110,884",8.1,0.3793,,0,138,"68,904",K2,Transit
K2-77 b,K2-77,b,2016,8.2,2.3,,"92,069",603.9,,,0,58,"57,213",K2,Transit
K2-79 b,K2-79,b,2016,11.0,3.69,,"147,711",13.2,0.2613,,0,186,"91,789",K2,Transit
K2-8 b,K2-8,b,2015,10.35,3.58,1193.0,"143,308",12.5,0.2722,843.0,0,37.7,"89,053",K2,Transit
K2-8 c,K2-8,c,2016,5.06,2.41,1499.0,"96,473",6.4,0.4555,1013.0,0,97.8,"59,949",K2,Transit
K2-80 b,K2-80,b,2016,19.09,2.01,,"80,461",4.7,0.5771,,0,32.5,"49,999",K2,Transit
K2-80 c,K2-80,c,2016,5.6,1.47,,"58,844",2.8,0.8657,,0,166,"36,566",K2,Transit
K2-80 d,K2-80,d,2018,28.87,2.552,,"102,157",7.0,0.4229,,0,,"63,481",K2,Transit
K2-81 b,K2-81,b,2016,6.1,1.97,,"78,859",4.5,0.5917,,0,62.9,"49,004",K2,Transit
K2-83 b,K2-83,b,2016,2.75,1.244,,"49,798",2.1,1.078,,0,41.5,"30,945",K2,Transit
K2-83 c,K2-83,c,2016,10.0,1.483,,"59,365",2.8,0.8566,,0,7.42,"36,890",K2,Transit
K2-84 b,K2-84,b,2016,6.42,2.41,,"96,473",6.4,0.4555,,0,178,"59,949",K2,Transit
K2-84 c,K2-84,c,2016,27.86,2.03,,"81,261",4.8,0.5699,,0,25.3,"50,497",K2,Transit
K2-85 b,K2-85,b,2016,0.68,1.01,,"40,430",1.0,0.9782,,0,479,"25,124",K2,Transit
K2-86 b,K2-86,b,2016,8.78,1.96,,"78,459",4.5,0.5953,,0,78,"48,755",K2,Transit
K2-87 b,K2-87,b,2016,9.73,7.6,1820.0,"304,229",44.9,0.102,1191.0,0,85,"189,051",K2,Transit
K2-88 b,K2-88,b,2016,4.61,1.23,,"49,237",2.0,1.0926,,0,7.8,"30,596",K2,Transit
K2-89 b,K2-89,b,2016,1.1,0.615,,"24,619",0.2,0.7296,,0,78,"15,298",K2,Transit
K2-9 b,K2-9,b,2015,18.45,2.25,623.0,"90,068",5.7,0.4973,526.0,0,1.36,"55,969",K2,Transit
K2-90 b,K2-90,b,2016,13.73,2.6,961.0,"104,078",7.3,0.412,714.0,0,10.2,"64,675",K2,Transit
K2-90 c,K2-90,c,2016,2.9,1.3,,"52,039",2.2,1.0163,,0,80.8,"32,338",K2,Transit
K2-91 b,K2-91,b,2016,1.42,1.1,,"44,033",1.4,1.0272,,0,46,"27,363",K2,Transit
K2-95 b,K2-95,b,2016,10.13,3.88,747.0,"155,317",14.3,0.245,595.0,0,,"96,516",K2,Transit
K2-97 b,K2-97,b,2016,8.41,10.61,2756.0,"424,720",152.6,0.1274,1711.0,0,,"263,925",K2,Transit
K2-98 b,K2-98,b,2016,10.14,5.2,2023.0,"208,157",32.2,0.3902,1304.0,0,,"129,351",K2,Transit
K2-99 b,K2-99,b,2016,18.25,11.73,2061.0,"469,554",308.3,0.1906,1325.0,0,,"291,785",K2,Transit
KELT-1 b,KELT-1,b,2012,1.22,12.442,,"498,055",8654.2,4.4828,,0,,"309,496",KELT,Transit
KELT-10 b,KELT-10,b,2016,4.17,15.681,2536.0,"627,713",215.8,0.0559,1589.0,0,600,"390,067",KELT-South,Transit
KELT-11 b,KELT-11,b,2017,4.74,15.132,3139.0,"605,737",54.3,0.0169,1924.0,0,1433,"376,410",KELT-South,Transit
KELT-12 b,KELT-12,b,2017,5.03,19.952,3298.0,"798,682",301.9,0.0379,2012.0,0,1749,"496,309",KELT-North,Transit
KELT-14 b,KELT-14,b,2016,1.71,19.537,3604.0,"782,070",408.1,0.0584,2182.0,0,,"485,985",KELT-South,Transit
KELT-15 b,KELT-15,b,2016,3.33,19.504,3013.0,"780,749",416.4,0.0653,1854.0,0,,"485,165",KELT-South,Transit
KELT-16 b,KELT-16,b,2017,0.97,15.861,4473.0,"634,919",874.0,0.2178,2665.0,0,,"394,544",KELT,Transit
KELT-17 b,KELT-17,b,2016,3.08,17.094,3814.0,"684,276",416.4,0.0835,2299.0,0,,"425,215",KELT,Transit
KELT-18 b,KELT-18,b,2017,2.87,17.598,3811.0,"704,451",375.0,0.0684,2297.0,0,3152,"437,753",KELT-North,Transit
KELT-19 A b,KELT-19 A,b,2017,4.61,21.409,3541.0,"857,006",1293.6,0.135,2147.0,0,2340,"532,552",KELT,Transit
KELT-2 A b,KELT-2 A,b,2012,4.11,15.132,,"605,737",540.3,0.1652,,0,,"376,410",KELT,Transit
KELT-20 b,KELT-20,b,2017,3.47,19.515,4129.0,"781,189",1074.9,0.1463,2474.0,0,4362.5,"485,438",KELT-North,Transit
KELT-21 b,KELT-21,b,2018,3.61,17.777,3749.0,"711,616",1242.7,0.225,2263.0,0,2950,"442,205",KELT-North,Transit
KELT-23 A b,KELT-23 A,b,2019,2.26,14.83,2867.0,"593,647",298.1,0.0913,1773.0,0,991.18,"368,898",KELT-North,Transit
KELT-24 b,KELT-24,b,2019,5.55,14.258,2684.0,"570,750",1646.4,0.5681,1671.0,0,750.9,"354,670",KELT-North,Transit
KELT-3 b,KELT-3,b,2013,2.7,17.486,3326.0,"699,968",616.6,0.1361,2028.0,0,,"434,967",KELT,Transit
