name,host_star,ltr,disc_year,orb_period_ed,radius_e,temp_f,circumference_k,mass_e,density_e,temp_c,habit_code,solar_flux,circumference_m,disc_facility,disc_method
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,2015,,16.141,,"646,127",4417.8,1.0472,,0,,"401,509",Cerro Tololo Inter-American Observatory,Imaging
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,2010,,12.6,,"504,380",2383.6,1.1887,,0,,"313,427",Hubble Space Telescope,Imaging
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,2004,,13.0,2128.0,"520,392",1271.0,0.5771,1362.0,0,,"323,377",Paranal Observatory,Imaging
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2015,416.0,13.4,,"536,404",603.9,0.2505,,0,,"333,327",Kepler,Eclipse Timing Variations
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,2009,7336.5,10.31,3793.0,"412,711",6657.5,6.0617,2287.0,0,,"256,463",W. M. Keck Observatory,Imaging
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,2016,,12.3,,"492,371",3972.9,2.1234,,0,,"305,964",W. M. Keck Observatory,Imaging
30 Ari B b,30 Ari B,b,2009,335.1,12.3,,"492,371",4392.4,2.3593,,0,,"305,964",Thueringer Landessternwarte Tautenburg,Radial Velocity
4 UMa b,4 UMa,b,2006,269.3,12.7,,"508,383",2256.5,1.098,,0,,"315,914",Thueringer Landessternwarte Tautenburg,Radial Velocity
42 Dra b,42 Dra,b,2008,479.1,13.0,,"520,392",1233.1,0.559,,0,,"323,377",Thueringer Landessternwarte Tautenburg,Radial Velocity
47 UMa b,47 UMa,b,1996,1078.0,13.2,,"528,398",804.1,0.3485,,0,,"328,352",Lick Observatory,Radial Velocity
47 UMa c,47 UMa,c,2001,2391.0,14.2,,"568,428",171.6,0.0597,,0,,"353,227",Lick Observatory,Radial Velocity
47 UMa d,47 UMa,d,2009,14002.0,13.5,,"540,407",521.2,0.2105,,0,,"335,814",Lick Observatory,Radial Velocity
51 Eri b,51 Eri,b,2015,11688.0,13.4,1318.0,"536,404",635.7,0.2632,912.0,0,,"333,327",Gemini Observatory,Imaging
51 Peg b,51 Peg,b,1995,4.23,14.3,,"572,431",146.2,0.0499,,0,,"355,714",Haute-Provence Observatory,Radial Velocity
55 Cnc b,55 Cnc,b,1996,14.65,13.9,1318.0,"556,419",264.0,0.098,912.0,0,,"345,764",Lick Observatory,Radial Velocity
55 Cnc c,55 Cnc,c,2004,44.42,8.51,,"340,657",54.5,0.0882,,0,,"211,687",McDonald Observatory,Radial Velocity
55 Cnc d,55 Cnc,d,2002,4825.0,13.0,,"520,392",1232.5,0.559,,0,,"323,377",Lick Observatory,Radial Velocity
55 Cnc e,55 Cnc,e,2004,0.74,1.91,3582.0,"76,458",8.1,1.1615,2170.0,0,,"47,511",McDonald Observatory,Radial Velocity
55 Cnc f,55 Cnc,f,2007,262.0,7.59,,"303,829",44.8,0.1022,,0,,"188,802",Multiple Observatories,Radial Velocity
6 Lyn b,6 Lyn,b,2008,934.3,13.4,,"536,404",638.8,0.265,,0,,"333,327",Okayama Astrophysical Observatory,Radial Velocity
61 Vir b,61 Vir,b,2009,4.22,2.11,,"84,464",5.1,0.5408,,0,,"52,487",Multiple Observatories,Radial Velocity
61 Vir c,61 Vir,c,2009,38.02,4.46,,"178,535",18.2,0.2051,,0,,"110,943",Multiple Observatories,Radial Velocity
61 Vir d,61 Vir,d,2009,123.01,5.11,,"204,554",22.9,0.1711,,0,,"127,112",Multiple Observatories,Radial Velocity
7 CMa b,7 CMa,b,2011,735.1,13.4,,"536,404",588.0,0.2432,,0,,"333,327",Anglo-Australian Telescope,Radial Velocity
