exoPlanetName,PlanetMassEst,PlanetRadiusEst,PlanetTempType,PlanetDetection,DiscoverYr,StarConst,PotHabitableOptimistic,PotHabitableConservative,LastUpdate,StarRadius
HD 196885 b,819.99625,13.204329,Warm,Radial Velocity,2007,Dolphin,1,1,8/21/2014,175.09726
HD 197037 b,251.08412,13.910156,Warm,Radial Velocity,2012,Swan,1,0,1/31/2019,169.48363
HD 20782 b,472.8645,13.528064,Warm,Radial Velocity,2006,Furnace,1,1,2/7/2019,175.20677
HD 210277 b,409.99812,13.613245,Warm,Radial Velocity,1998,Water Carrier,1,1,9/6/2018,333.10989
HD 213240 b,1773.4803,12.763674,Warm,Radial Velocity,2001,Crane,1,1,9/6/2018,331.27722
HD 214823 b,6451.9085,12.058624,Warm,Radial Velocity,2016,Winged Horse,1,1,9/27/2018,341.24069
HD 216435 b,400.46328,13.627346,Warm,Radial Velocity,2002,Crane,1,1,7/23/2014,337.51358
HD 216437 b,706.53165,13.291141,Warm,Radial Velocity,2002,Indian,1,0,6/27/2019,335.09482
HD 218566 b,63.565601,9.3233728,Warm,Radial Velocity,2010,Fishes,1,1,9/6/2018,337.61758
HD 219415 b,317.828,13.766628,Warm,Radial Velocity,2012,Cassiopeia,1,1,9/18/2015,130.41037
HD 221287 b,982.08853,13.099943,Warm,Radial Velocity,2007,Toucan,1,1,5/14/2014,136.57397
HD 221585 b,511.70308,13.48116,Warm,Radial Velocity,2016,Cassiopeia,1,1,5/19/2016,207.20622
HD 222582 b,2660.2204,12.537983,Warm,Radial Velocity,1999,Water Carrier,1,1,9/6/2018,202.33142
HD 224538 b,1897.4332,12.725789,Warm,Radial Velocity,2016,Toucan,1,1,11/10/2016,202.48877
HD 23079 b,829.53109,13.197614,Warm,Radial Velocity,2001,Net,1,1,9/6/2018,205.4447
HD 23127 b,485.32336,13.512592,Warm,Radial Velocity,2006,Net,1,1,6/27/2019,204.2217
HD 23596 b,2869.9869,12.496181,Warm,Radial Velocity,2003,Perseus,1,0,9/6/2018,204.2217
HD 28185 b,1875.1852,12.732395,Warm,Radial Velocity,2001,River,1,1,9/6/2018,13.432017
HD 28254 b,368.68048,13.677019,Warm,Radial Velocity,2010,Goldfish,1,1,11/19/2014,13.07978
HD 30562 b,387.75016,13.646704,Warm,Radial Velocity,2009,River,1,1,9/6/2018,13.07978
HD 31527 d,11.823202,3.4619133,Warm,Radial Velocity,2019,Hare,1,0,2/7/2019,78.919746
HD 34445 b,260.61896,13.887363,Warm,Radial Velocity,2009,Hunter,1,1,9/6/2018,78.339134
HD 34445 f,37.821532,6.8669448,Warm,Radial Velocity,2017,Hunter,1,1,10/26/2017,159.38927
HD 38529 c,4128.5858,12.297839,Warm,Radial Velocity,2000,Hunter,1,1,12/6/2018,65.898908
HD 38801 b,3082.296,12.457004,Warm,Radial Velocity,2009,Hunter,1,0,6/27/2019,344.41269
HD 4113 b,495.81168,13.499887,Warm,Radial Velocity,2007,Sculptor,1,1,12/3/2014,153.71574
HD 4203 b,708.75645,13.289303,Warm,Radial Velocity,2001,Fishes,1,0,9/6/2018,153.71574
HD 43197 b,190.6968,14.079556,Warm,Radial Velocity,2010,Big Dog,1,1,12/3/2014,175.43597
HD 44219 b,184.34024,14.100574,Warm,Radial Velocity,2010,Unicorn,1,1,1/22/2015,175.43597
HD 45364 b,59.497402,8.9671516,Warm,Radial Velocity,2008,Big Dog,1,0,5/14/2014,258.82884
HD 45364 c,209.09904,14.0226,Warm,Radial Velocity,2008,Big Dog,1,1,5/14/2014,333.42868
HD 4732 c,753.25237,13.253747,Warm,Radial Velocity,2012,Whale,1,1,5/14/2014,51.746769
HD 48265 b,484.6877,13.513371,Warm,Radial Velocity,2008,Stern,1,1,6/27/2019,62.315273
HD 564 b,104.88324,12.521925,Warm,Radial Velocity,2014,Phoenix,1,1,1/8/2015,62.315273
HD 63765 b,168.44884,14.156616,Warm,Radial Velocity,2009,Keel,1,1,9/6/2018,62.315273
HD 65216 b,411.58726,13.610928,Warm,Radial Velocity,2003,Keel,1,1,3/14/2019,73.023865
HD 7199 b,85.813561,11.126015,Warm,Radial Velocity,2011,Toucan,1,1,9/6/2018,111.85208
HD 73534 b,353.42474,13.702474,Warm,Radial Velocity,2008,Crab,1,1,12/6/2018,111.85208
HD 82943 b,534.26887,13.455586,Warm,Radial Velocity,2003,Water Snake,1,1,5/14/2014,4.052823
HD 86264 b,2224.796,12.636979,Warm,Radial Velocity,2009,Water Snake,1,1,4/24/2015,32.295425
HD 9174 b,352.78908,13.703559,Warm,Radial Velocity,2016,Whale,1,1,11/10/2016,32.295425
HD 92788 b,1195.0333,12.987313,Warm,Radial Velocity,2000,Sextant,1,0,4/11/2019,32.295425
HD 94834 b,400.46328,13.627346,Warm,Radial Velocity,2018,Lion,1,0,12/6/2018,130.24673
HD 95089 c,1096.5066,13.036576,Warm,Radial Velocity,2018,Lion,1,0,12/6/2018,130.24673
