exoPlanetName,PlanetMassEst,PlanetRadiusEst,PlanetTempType,PlanetDetection,DiscoverYr,StarConst,PotHabitableOptimistic,PotHabitableConservative,LastUpdate,StarRtAsc,StarDistance
HD 43197 b,190.6968,14.079556,Warm,Radial Velocity,2010,Big Dog,1,1,12/3/2014,93.39859,56.3
HD 44219 b,184.34024,14.100574,Warm,Radial Velocity,2010,Unicorn,1,1,1/22/2015,95.059677,50.4
HD 45364 b,59.497402,8.9671516,Warm,Radial Velocity,2008,Big Dog,1,0,5/14/2014,96.410316,34.39
HD 45364 c,209.09904,14.0226,Warm,Radial Velocity,2008,Big Dog,1,1,5/14/2014,96.410316,34.39
HD 4732 c,753.25237,13.253747,Warm,Radial Velocity,2012,Whale,1,1,5/14/2014,12.308117,54.87
HD 48265 b,484.6877,13.513371,Warm,Radial Velocity,2008,Stern,1,1,6/27/2019,100.00719,90.78
HD 564 b,104.88324,12.521925,Warm,Radial Velocity,2014,Phoenix,1,1,1/8/2015,2.470091,53.6
HD 63765 b,168.44884,14.156616,Warm,Radial Velocity,2009,Keel,1,1,9/6/2018,116.95716,32.57
HD 65216 b,411.58726,13.610928,Warm,Radial Velocity,2003,Keel,1,1,3/14/2019,118.42217,35.16
HD 7199 b,85.813561,11.126015,Warm,Radial Velocity,2011,Toucan,1,1,9/6/2018,17.696762,36.19
HD 73534 b,353.42474,13.702474,Warm,Radial Velocity,2008,Crab,1,1,12/6/2018,129.81584,83.53
HD 82943 b,534.26887,13.455586,Warm,Radial Velocity,2003,Water Snake,1,1,5/14/2014,143.7114,27.61
HD 86264 b,2224.796,12.636979,Warm,Radial Velocity,2009,Water Snake,1,1,4/24/2015,149.241,67.94
HD 9174 b,352.78908,13.703559,Warm,Radial Velocity,2016,Whale,1,1,11/10/2016,22.504177,81.68
HD 92788 b,1195.0333,12.987313,Warm,Radial Velocity,2000,Sextant,1,0,4/11/2019,160.70221,34.69
HD 94834 b,400.46328,13.627346,Warm,Radial Velocity,2018,Lion,1,0,12/6/2018,164.31297,98.43
HD 95089 c,1096.5066,13.036576,Warm,Radial Velocity,2018,Lion,1,0,12/6/2018,164.6989,137.46
HD 99109 b,139.84432,14.273013,Warm,Radial Velocity,2005,Lion,1,1,9/6/2018,171.07233,54.88
HIP 109384 b,495.81168,13.499887,Warm,Radial Velocity,2016,Cepheus,1,1,2/25/2016,332.40582,56.2
HIP 109600 b,851.77905,13.182254,Warm,Radial Velocity,2016,Winged Horse,1,0,2/25/2016,333.02606,58.6
HIP 12961 b,114.41808,13.180399,Warm,Radial Velocity,2010,River,1,0,9/6/2018,41.678692,23.39
HIP 41378 d,0,0,Warm,Transit,2016,Crab,1,1,6/13/2019,126.61604,106.61
HIP 41378 f,0,0,Warm,Transit,2016,Crab,1,1,6/13/2019,126.61604,106.61
HIP 5158 b,305.11488,13.791378,Warm,Radial Velocity,2009,Whale,1,1,9/6/2018,16.508533,51.68
HIP 67537 b,3527.8908,12.383214,Warm,Radial Velocity,2017,Centaur,1,0,4/27/2017,207.58083,112.6
HIP 67851 c,1900.6115,12.724853,Warm,Radial Velocity,2015,Centaur,1,0,6/4/2015,208.46692,65.96
