name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
Kepler-731 b,Kepler-731,b,2016,3.86,13.88,555619,345267,,,939,1722,0,456.7,Kepler,Transit
Kepler-732 b,Kepler-732,b,2016,9.47,2.18,87266,54228,5.4,0.5191,134,273,0,8.56,Kepler,Transit
Kepler-732 c,Kepler-732,c,2016,0.89,1.27,50838,31591,2.2,1.0472,620,1148,0,199.85,Kepler,Transit
Kepler-733 b,Kepler-733,b,2016,20.83,2.82,112885,70148,8.4,0.3721,322,612,0,24.51,Kepler,Transit
Kepler-734 b,Kepler-734,b,2016,6.1,3.56,142507,88555,12.4,0.274,511,952,0,89.25,Kepler,Transit
Kepler-735 b,Kepler-735,b,2016,11.52,2.95,118089,73382,9,0.3503,384,723,0,32.68,Kepler,Transit
Kepler-736 b,Kepler-736,b,2016,3.6,2.93,117288,72884,8.9,0.3539,723,1333,0,233.03,Kepler,Transit
Kepler-737 b,Kepler-737,b,2016,28.6,1.96,78459,48755,4.5,0.5953,25,77,0,2.3,Kepler,Transit
Kepler-738 b,Kepler-738,b,2016,24.59,2.5,100075,62188,6.8,0.4338,257,495,0,27.64,Kepler,Transit
Kepler-739 b,Kepler-739,b,2016,12.53,3.32,132900,82585,11,0.2995,502,936,0,115.96,Kepler,Transit
Kepler-74 b,Kepler-74,b,2013,7.34,10.76,430725,267656,200.2,0.1597,805,1481,0,337.68,Kepler,Transit
Kepler-740 b,Kepler-740,b,2016,3.58,4.57,182938,113679,18.9,0.1978,858,1576,0,432.87,Kepler,Transit
Kepler-741 b,Kepler-741,b,2016,7.04,2.97,118890,73879,9.1,0.3466,778,1432,0,461.99,Kepler,Transit
Kepler-742 b,Kepler-742,b,2016,8.36,3.24,129698,80595,10.6,0.3103,417,783,0,38.1,Kepler,Transit
Kepler-743 b,Kepler-743,b,2016,3.18,1.21,48437,30099,1.9,1.0817,828,1522,0,397.25,Kepler,Transit
Kepler-744 b,Kepler-744,b,2016,12.06,1.62,64849,40298,3.3,0.7641,477,891,0,62.95,Kepler,Transit
Kepler-745 b,Kepler-745,b,2016,9.93,2.16,86465,53730,5.3,0.5263,658,1216,0,286.03,Kepler,Transit
Kepler-746 b,Kepler-746,b,2016,3.48,1.11,44433,27611,1.4,1.029,883,1621,0,421.61,Kepler,Transit
Kepler-747 b,Kepler-747,b,2016,35.62,5.27,210959,131092,24.1,0.1642,183,361,0,10.19,Kepler,Transit
Kepler-748 b,Kepler-748,b,2016,7.41,2.52,100876,62685,6.9,0.4301,665,1229,0,439.78,Kepler,Transit
