name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
Kepler-1548 b,Kepler-1548,b,2016,124.83,2.64,105680,65670,7.5,0.4047,77,171,0,1.93,Kepler,Transit
Kepler-1549 b,Kepler-1549,b,2016,214.89,2.57,102878,63929,7.1,0.4192,13,55,0,1.18,Kepler,Transit
Kepler-155 b,Kepler-155,b,2014,5.93,2.09,83663,51989,5,0.8584,341,646,0,23.5,Kepler,Transit
Kepler-155 c,Kepler-155,c,2014,52.66,2.24,89668,55720,5.6,0.8584,13,55,0,1.28,Kepler,Transit
Kepler-1550 b,Kepler-1550,b,2016,225.58,3.02,120891,75123,9.4,0.3394,75,167,0,2.31,Kepler,Transit
Kepler-1551 b,Kepler-1551,b,2016,24.5,2.66,106480,66168,7.6,0.4011,449,840,0,60.42,Kepler,Transit
Kepler-1552 b,Kepler-1552,b,2016,184.77,2.47,98875,61442,6.7,0.441,-5,23,2,1.85,Kepler,Transit
Kepler-1553 b,Kepler-1553,b,2016,4.24,1.15,46035,28606,1.6,1.049,653,1207,0,166.11,Kepler,Transit
Kepler-1554 b,Kepler-1554,b,2016,198.09,2.9,116088,72138,8.8,0.3575,15,59,0,1.01,Kepler,Transit
Kepler-1555 b,Kepler-1555,b,2016,8.11,1.61,64449,40049,3.2,0.7695,686,1267,0,483.26,Kepler,Transit
Kepler-1556 b,Kepler-1556,b,2016,8.83,1.96,78459,48755,4.5,0.5953,524,975,0,92.14,Kepler,Transit
Kepler-1557 b,Kepler-1557,b,2016,3.74,1.53,61246,38059,3,0.824,1014,1857,0,645.54,Kepler,Transit
Kepler-1558 b,Kepler-1558,b,2016,3.5,0.68,27221,16915,0.2,0.7731,746,1375,0,189.89,Kepler,Transit
Kepler-1559 b,Kepler-1559,b,2016,0.97,0.72,28822,17910,0.3,0.7985,1336,2437,0,1620.06,Kepler,Transit
Kepler-156 b,Kepler-156,b,2014,4.97,2.3,92069,57213,5.9,0.4828,594,1101,0,135.08,Kepler,Transit
Kepler-156 c,Kepler-156,c,2014,15.91,2.55,102077,63432,7,0.4229,315,599,0,28.64,Kepler,Transit
Kepler-1560 b,Kepler-1560,b,2016,3.03,0.89,35627,22139,0.6,0.9056,996,1825,0,593.92,Kepler,Transit
Kepler-1561 b,Kepler-1561,b,2016,1.01,1.09,43633,27114,1.3,1.0163,1409,2568,0,2364.81,Kepler,Transit
Kepler-1562 b,Kepler-1562,b,2016,64.27,3.55,142107,88307,12.3,0.274,281,538,0,31.77,Kepler,Transit
Kepler-1563 b,Kepler-1563,b,2016,3.43,0.75,30023,18656,0.3,0.8203,861,1582,0,390.57,Kepler,Transit
Kepler-1564 b,Kepler-1564,b,2016,18.05,1.47,58844,36566,2.8,0.8657,362,684,0,41.51,Kepler,Transit
Kepler-1565 b,Kepler-1565,b,2016,1.54,1.19,47636,29601,1.8,1.0708,961,1762,0,510.57,Kepler,Transit
Kepler-1566 b,Kepler-1566,b,2016,0.54,0.79,31624,19651,0.4,0.8457,1598,2908,0,2340.98,Kepler,Transit
Kepler-1567 b,Kepler-1567,b,2016,153.98,2.73,109282,67909,7.9,0.3866,57,135,0,2.72,Kepler,Transit
Kepler-1568 b,Kepler-1568,b,2016,20.93,1.3,52039,32338,2.2,1.0163,456,853,0,72.57,Kepler,Transit
Kepler-1569 b,Kepler-1569,b,2016,5.79,1.68,67251,41790,3.5,0.7278,949,1740,0,495.65,Kepler,Transit
Kepler-157 b,Kepler-157,b,2014,1.73,1.32,52840,32835,2.3,0.9982,1273,2323,0,1572.31,Kepler,Transit
Kepler-157 c,Kepler-157,c,2014,13.54,2.24,89668,55720,5.6,0.5009,506,943,0,101.75,Kepler,Transit
Kepler-157 d,Kepler-157,d,2016,7.03,1.46,58444,36318,2.7,0.8748,696,1285,0,244.06,Kepler,Transit
Kepler-1570 b,Kepler-1570,b,2016,26.55,1.07,42832,26616,1.2,1.0091,563,1045,0,76.46,Kepler,Transit
Kepler-1571 b,Kepler-1571,b,2016,3.39,1.52,60846,37810,2.9,0.8294,1203,2197,0,757.13,Kepler,Transit
Kepler-1572 b,Kepler-1572,b,2016,5.5,0.94,37628,23383,0.8,0.9347,1020,1868,0,583.52,Kepler,Transit
Kepler-1573 b,Kepler-1573,b,2016,2.62,1.2,48036,29850,1.9,1.0799,1106,2023,0,1343.11,Kepler,Transit
Kepler-1574 b,Kepler-1574,b,2016,6.94,1.29,51639,32089,2.2,1.0272,730,1346,0,289.78,Kepler,Transit
Kepler-1575 b,Kepler-1575,b,2016,2.55,1.31,52440,32586,2.3,1.0073,1039,1902,0,803.68,Kepler,Transit
Kepler-1576 b,Kepler-1576,b,2016,6.98,1.04,41631,25870,1.1,0.9927,786,1447,0,156.61,Kepler,Transit
Kepler-1577 b,Kepler-1577,b,2016,6.31,1.13,45234,28109,1.5,1.0436,852,1566,0,57.75,Kepler,Transit
Kepler-1578 b,Kepler-1578,b,2016,1.45,1.04,41631,25870,1.1,0.9927,1427,2601,0,1486.44,Kepler,Transit
Kepler-1579 b,Kepler-1579,b,2016,0.85,0.84,33625,20895,0.5,0.8748,866,1591,0,396.64,Kepler,Transit
Kepler-158 b,Kepler-158,b,2014,16.71,2.12,84864,52735,5.1,0.5372,227,441,0,13.63,Kepler,Transit
Kepler-158 c,Kepler-158,c,2014,28.55,1.9,76057,47263,4.3,0.6207,145,293,0,6.68,Kepler,Transit
Kepler-1580 b,Kepler-1580,b,2016,56.64,2.11,84464,52487,5.1,0.5408,460,860,0,83.09,Kepler,Transit
Kepler-1581 b,Kepler-1581,b,2016,6.28,0.8,32024,19900,0.4,0.8512,835,1535,0,470.86,Kepler,Transit
Kepler-1582 b,Kepler-1582,b,2016,4.84,1.49,59645,37064,2.8,0.853,81,178,0,2.5,Kepler,Transit
Kepler-1583 b,Kepler-1583,b,2016,9.33,0.6,24018,14925,0.2,0.7205,515,959,0,124.31,Kepler,Transit
Kepler-1584 b,Kepler-1584,b,2016,13.4,1.61,64449,40049,3.2,0.7695,613,1135,0,162.54,Kepler,Transit
Kepler-1585 b,Kepler-1585,b,2016,3.58,1.79,71654,44526,3.9,0.6715,791,1456,0,182.94,Kepler,Transit
Kepler-1586 b,Kepler-1586,b,2016,15.6,1.52,60846,37810,2.9,0.8294,740,1364,0,105.77,Kepler,Transit
Kepler-1587 b,Kepler-1587,b,2016,9.41,1.33,53240,33084,2.3,0.9873,708,1306,0,254.7,Kepler,Transit
Kepler-1588 b,Kepler-1588,b,2016,7.85,0.76,30423,18905,0.4,0.824,652,1206,0,359.79,Kepler,Transit
Kepler-1589 b,Kepler-1589,b,2016,0.99,1.09,43633,27114,1.3,1.0163,1829,3324,0,5228.78,Kepler,Transit
Kepler-159 b,Kepler-159,b,2014,10.14,2.38,95272,59203,6.3,0.4628,174,345,0,33.46,Kepler,Transit
Kepler-159 c,Kepler-159,c,2014,43.6,3.41,136503,84824,11.5,0.2886,2,36,0,4.79,Kepler,Transit
Kepler-1590 b,Kepler-1590,b,2016,7.62,1.14,45634,28358,1.6,1.0436,747,1377,0,171.48,Kepler,Transit
Kepler-1591 b,Kepler-1591,b,2016,8.19,1.27,50838,31591,2.2,1.0472,619,1146,0,439.43,Kepler,Transit
Kepler-1592 b,Kepler-1592,b,2016,3.06,1.54,61646,38308,3,0.8167,929,1704,0,1918.34,Kepler,Transit
Kepler-1593 b,Kepler-1593,b,2016,174.51,3.17,126896,78854,10.2,0.5499,-13,9,0,0.89,Kepler,Transit
Kepler-1594 b,Kepler-1594,b,2016,2.72,1.06,42432,26368,1.2,1.0054,1087,1989,0,672.41,Kepler,Transit
Kepler-1595 b,Kepler-1595,b,2016,4.56,1.23,49237,30596,2,1.0926,707,1305,0,185.57,Kepler,Transit
Kepler-1596 b,Kepler-1596,b,2016,66.37,1.9,76057,47263,4.3,0.6207,198,388,0,33.38,Kepler,Transit
Kepler-1597 b,Kepler-1597,b,2016,2.95,1.06,42432,26368,1.2,1.0054,1224,2235,0,1431.31,Kepler,Transit
Kepler-1598 b,Kepler-1598,b,2016,4.34,0.95,38029,23631,0.8,0.9401,963,1765,0,308.46,Kepler,Transit
Kepler-1599 b,Kepler-1599,b,2016,122.36,1.62,64849,40298,3.3,0.7641,134,273,0,8.2,Kepler,Transit
Kepler-16 b,Kepler-16,b,2011,228.78,8.449,338215,210170,105.8,0.175,,,0,,Kepler,Transit
Kepler-160 b,Kepler-160,b,2014,4.31,1.715,68652,42661,3.6,0.7096,861,1582,0,396.62,Kepler,Transit
Kepler-160 c,Kepler-160,c,2014,13.7,3.76,150513,93530,13.6,0.2559,498,928,0,84.85,Kepler,Transit
Kepler-160 d,Kepler-160,d,2020,30,,0,0,100,,,,0,,Kepler,Transit Timing Variations
Kepler-1600 b,Kepler-1600,b,2016,386.37,3.13,125294,77859,10,0.323,-64,-83,0,0.46,Kepler,Transit
Kepler-1601 b,Kepler-1601,b,2016,2.21,0.82,32825,20398,0.5,0.8621,1234,2253,0,999.75,Kepler,Transit
Kepler-1602 b,Kepler-1602,b,2016,11.18,1.34,53640,33333,2.4,0.9782,886,1627,0,124.51,Kepler,Transit
Kepler-1603 b,Kepler-1603,b,2016,2.27,1.29,51639,32089,2.2,1.0272,1249,2280,0,1269.46,Kepler,Transit
Kepler-1604 b,Kepler-1604,b,2016,0.68,1.41,56443,35074,2.6,0.9147,1750,3182,0,3567.57,Kepler,Transit
Kepler-1605 b,Kepler-1605,b,2016,85.76,1.08,43233,26865,1.3,1.0127,255,491,0,16.73,Kepler,Transit
Kepler-1606 b,Kepler-1606,b,2016,196.44,2.07,82862,51492,4.9,0.3031,51,124,2,1.29,Kepler,Transit
Kepler-1607 b,Kepler-1607,b,2016,13.65,0.92,36828,22885,0.7,0.9238,640,1184,0,449.63,Kepler,Transit
Kepler-1608 b,Kepler-1608,b,2016,16.47,1.73,69252,43034,3.6,0.7005,339,642,0,33.22,Kepler,Transit
Kepler-1609 b,Kepler-1609,b,2016,114.34,2.22,88867,55223,5.6,0.5064,156,313,0,12.97,Kepler,Transit
Kepler-161 b,Kepler-161,b,2014,4.92,2.12,84864,52735,12.1,1.2668,595,1103,0,123.4,Kepler,Transit
Kepler-161 c,Kepler-161,c,2014,7.06,2.05,82062,50994,11.8,1.3666,496,925,0,76.2,Kepler,Transit
Kepler-1610 b,Kepler-1610,b,2016,8.7,1.61,64449,40049,3.2,0.7695,477,891,0,56.21,Kepler,Transit
Kepler-1611 b,Kepler-1611,b,2016,5.18,0.81,32424,20149,0.5,0.8584,970,1778,0,146.22,Kepler,Transit
Kepler-1612 b,Kepler-1612,b,2016,3.92,1.03,41231,25621,1.1,0.9855,757,1395,0,269.25,Kepler,Transit
Kepler-1613 b,Kepler-1613,b,2016,1.52,2.08,83263,51740,5,0.5517,1653,3007,0,6797.62,Kepler,Transit
Kepler-1614 b,Kepler-1614,b,2016,3.95,1.49,59645,37064,2.8,0.853,708,1306,0,276.37,Kepler,Transit
Kepler-1615 b,Kepler-1615,b,2016,47.31,2.06,82462,51243,4.9,0.559,385,725,0,31.17,Kepler,Transit
Kepler-1616 b,Kepler-1616,b,2016,6.76,1.02,40831,25373,1,0.9782,1064,1947,0,724.86,Kepler,Transit
Kepler-1617 b,Kepler-1617,b,2016,27.48,1.2,48036,29850,1.9,1.0799,463,865,0,64.69,Kepler,Transit
Kepler-1618 b,Kepler-1618,b,2016,6.11,1.26,50438,31343,2.1,1.0617,994,1821,0,903.91,Kepler,Transit
Kepler-1619 b,Kepler-1619,b,2016,23.62,0.76,30423,18905,0.4,0.824,524,975,0,74.64,Kepler,Transit
Kepler-162 b,Kepler-162,b,2014,6.92,1.26,50438,31343,2.1,1.0617,688,1270,0,305.95,Kepler,Transit
Kepler-162 c,Kepler-162,c,2014,19.45,3.03,121291,75372,9.4,0.3376,408,766,0,77.05,Kepler,Transit
Kepler-1620 b,Kepler-1620,b,2016,101.95,1.61,64449,40049,3.2,0.7695,155,311,0,7.92,Kepler,Transit
Kepler-1621 b,Kepler-1621,b,2016,92.26,2.16,86465,53730,5.3,0.5263,196,385,0,14.05,Kepler,Transit
Kepler-1622 b,Kepler-1622,b,2016,10.81,1.47,58844,36566,2.8,0.8657,649,1200,0,236,Kepler,Transit
Kepler-1623 b,Kepler-1623,b,2016,4.36,1.31,52440,32586,2.3,1.0073,727,1341,0,243.08,Kepler,Transit
Kepler-1624 b,Kepler-1624,b,2016,3.29,5.7,228172,141788,27.6,0.1486,267,513,0,6.01,Kepler,Transit
Kepler-1625 b,Kepler-1625,b,2016,287.38,6.06,242583,150743,30.6,0.1372,77,171,0,3.77,Kepler,Transit
Kepler-1626 b,Kepler-1626,b,2016,4.14,2.02,80861,50248,4.7,0.5735,1079,1974,0,1328.65,Kepler,Transit
Kepler-1627 b,Kepler-1627,b,2016,7.2,3.69,147711,91789,13.2,0.2613,521,970,0,143.12,Kepler,Transit
Kepler-1628 b,Kepler-1628,b,2016,76.38,6.43,257394,159947,33.8,0.1269,-33,-27,0,0.79,Kepler,Transit
Kepler-1629 b,Kepler-1629,b,2016,3.88,0.77,30823,19154,0.4,0.833,808,1486,0,315.46,Kepler,Transit
Kepler-163 b,Kepler-163,b,2014,7.81,1.05,42032,26119,1.2,1,633,1171,0,115.61,Kepler,Transit
Kepler-163 c,Kepler-163,c,2014,21.35,2.26,90468,56218,5.7,0.4955,375,707,0,30.24,Kepler,Transit
Kepler-1630 b,Kepler-1630,b,2016,510,2.19,87666,54477,5.4,0.5154,-91,-132,0,0.26,Kepler,Transit
Kepler-1631 b,Kepler-1631,b,2016,4.1,1.35,54041,33581,2.4,0.9691,849,1560,0,446.92,Kepler,Transit
Kepler-1632 b,Kepler-1632,b,2016,448.3,2.47,98875,61442,6.7,0.441,96,205,2,6.06,Kepler,Transit
Kepler-1633 b,Kepler-1633,b,2016,186.4,1.58,63248,39303,3.1,0.7895,652,1206,0,26.26,Kepler,Transit
Kepler-1634 b,Kepler-1634,b,2016,374.88,3.19,127696,79352,10.3,0.3158,9,48,0,0.54,Kepler,Transit
Kepler-1635 b,Kepler-1635,b,2016,469.63,3.64,145710,90545,12.9,0.2668,-73,-99,0,0.4,Kepler,Transit
Kepler-1636 b,Kepler-1636,b,2016,425.48,3.23,129297,80347,10.5,0.3103,-25,-13,0,1.22,Kepler,Transit
Kepler-1637 b,Kepler-1637,b,2016,6.11,0.89,35627,22139,0.6,0.9056,820,1508,0,337.78,Kepler,Transit
Kepler-1638 b,Kepler-1638,b,2016,259.34,1.87,74856,46516,4.2,0.1016,31,88,2,2.76,Kepler,Transit
Kepler-1639 b,Kepler-1639,b,2016,9.88,2.58,103278,64178,7.2,0.4174,730,1346,0,187.85,Kepler,Transit
Kepler-164 b,Kepler-164,b,2014,5.04,1.41,56443,35074,2.6,0.9147,868,1594,0,370.92,Kepler,Transit
Kepler-164 c,Kepler-164,c,2014,10.95,2.73,109282,67909,7.9,0.3866,608,1126,0,131.49,Kepler,Transit
Kepler-164 d,Kepler-164,d,2014,28.99,2.45,98074,60944,6.6,0.4446,364,687,0,35.89,Kepler,Transit
Kepler-1640 b,Kepler-1640,b,2016,7.58,4.82,192945,119898,20.7,0.1851,955,1751,0,537.4,Kepler,Transit
Kepler-1641 b,Kepler-1641,b,2016,19.67,3.11,124494,77362,9.8,0.3267,635,1175,0,82.83,Kepler,Transit
Kepler-1641 c,Kepler-1641,c,2016,32.66,2.95,118089,73382,9,0.3503,494,921,0,42.15,Kepler,Transit
Kepler-1642 b,Kepler-1642,b,2016,12.21,3.2,128097,79600,10.3,0.314,622,1152,0,39.91,Kepler,Transit
Kepler-1642 c,Kepler-1642,c,2016,6.65,2.66,106480,66168,7.6,0.4011,822,1512,0,89.63,Kepler,Transit
Kepler-1643 b,Kepler-1643,b,2016,5.34,2.3,92069,57213,5.9,0.4828,526,979,0,137.75,Kepler,Transit
Kepler-1644 b,Kepler-1644,b,2016,21.09,1.88,75257,46765,4.2,0.6298,333,631,0,31.86,Kepler,Transit
Kepler-1645 b,Kepler-1645,b,2016,16.18,1.78,71254,44278,3.8,0.6751,481,898,0,138.54,Kepler,Transit
Kepler-1646 b,Kepler-1646,b,2016,4.49,1.23,49237,30596,2,1.0926,92,198,0,4.2,Kepler,Transit
Kepler-1647 b,Kepler-1647,b,2016,1107.59,11.874,475318,295367,483,0.2886,,,0,,Kepler,Transit
Kepler-1649 b,Kepler-1649,b,2017,8.69,1.017,40711,25298,1,0.9764,34,93,0,2.21,Kepler,Transit
Kepler-1649 c,Kepler-1649,c,2020,19.54,1.06,42432,26368,1.2,1.0054,-39,-38,1,0.75,Kepler,Transit
Kepler-165 b,Kepler-165,b,2014,8.18,2.32,92870,57710,6,0.4791,443,829,0,59.8,Kepler,Transit
Kepler-165 c,Kepler-165,c,2014,15.31,2.23,89267,55472,5.6,0.5027,308,586,0,25.93,Kepler,Transit
Kepler-1650 b,Kepler-1650,b,2017,1.54,0.96,38429,23880,0.8,0.9474,329,624,0,54.56,Kepler,Transit
Kepler-1651 b,Kepler-1651,b,2017,9.88,1.84,73656,45770,4,0.6461,120,248,0,5.65,Kepler,Transit
Kepler-1652 b,Kepler-1652,b,2017,38.1,1.6,64048,39800,3.2,1.7967,-5,23,2,0.81,Kepler,Transit
Kepler-1653 b,Kepler-1653,b,2017,140.25,2.17,86865,53979,5.4,0.559,11,52,2,0.98,Kepler,Transit
Kepler-1654 b,Kepler-1654,b,2018,1047.84,9.18,367477,228354,158.9,0.2178,-67,-89,0,0.3,Kepler,Transit
Kepler-1655 b,Kepler-1655,b,2018,11.87,2.213,88587,55049,5,0.4537,590,1094,0,155,Kepler,Transit
Kepler-1656 b,Kepler-1656,b,2018,31.58,5.02,200951,124873,48.6,0.3866,378,712,0,24.94,Kepler,Transit
Kepler-1658 b,Kepler-1658,b,2019,3.85,11.994,480122,298352,1868.8,1.1543,1761,3202,0,4055.29,Kepler,Transit
Kepler-166 b,Kepler-166,b,2014,7.65,2.27,90868,56467,5.8,0.4918,499,930,0,77.54,Kepler,Transit
Kepler-166 c,Kepler-166,c,2014,34.26,2.38,95272,59203,6.3,0.4628,195,383,0,10.51,Kepler,Transit
Kepler-166 d,Kepler-166,d,2016,1.55,1.73,69252,43034,3.6,0.7005,1040,1904,0,651.41,Kepler,Transit
Kepler-1661 b,Kepler-1661,b,2020,175.06,3.87,154917,96267,17,0.2904,-30,-22,0,0.88,Kepler,Transit
Kepler-1663 b,Kepler-1663,b,2020,17.6,3.304,132260,82187,10.9,0.3013,,,0,,Kepler,Transit
Kepler-1664 b,Kepler-1664,b,2020,14.39,3.033,121412,75446,9.4,0.3376,,,0,,Kepler,Transit
Kepler-1665 b,Kepler-1665,b,2020,11.95,2.839,113646,70620,8.4,0.3684,,,0,,Kepler,Transit
Kepler-1666 b,Kepler-1666,b,2020,25.85,2.883,115407,71715,8.7,0.3612,,,0,,Kepler,Transit
Kepler-1666 c,Kepler-1666,c,2020,40.72,3.236,129538,80496,10.5,0.3085,,,0,,Kepler,Transit
Kepler-1667 b,Kepler-1667,b,2020,83.58,2.984,119450,74227,9.2,0.3448,,,0,,Kepler,Transit
Kepler-1668 b,Kepler-1668,b,2020,15.43,4.348,174051,108157,17.4,0.2105,,,0,,Kepler,Transit
Kepler-1669 b,Kepler-1669,b,2020,9.51,2.78,111284,69153,8.2,0.3775,,,0,,Kepler,Transit
Kepler-167 b,Kepler-167,b,2014,4.39,1.615,64649,40173,3.2,0.7677,641,1186,0,115.8,Kepler,Transit
Kepler-167 c,Kepler-167,c,2014,7.41,1.548,61967,38507,3,0.8094,495,923,0,57.7,Kepler,Transit
Kepler-167 d,Kepler-167,d,2016,21.8,1.194,47796,29701,1.8,1.0726,263,505,0,13.68,Kepler,Transit
Kepler-167 e,Kepler-167,e,2016,1071.23,10.15,406306,252483,73.4,0.0701,-142,-224,0,0.07,Kepler,Transit
Kepler-1670 b,Kepler-1670,b,2020,20.5,3.356,134341,83481,11.2,0.2958,,,0,,Kepler,Transit
Kepler-1671 b,Kepler-1671,b,2020,4.17,1.326,53080,32984,2.3,0.9927,,,0,,Kepler,Transit
Kepler-1672 b,Kepler-1672,b,2020,150.88,2.97,118890,73879,9.1,0.3466,,,0,,Kepler,Transit
Kepler-1673 b,Kepler-1673,b,2020,33.79,2.936,117529,73033,8.9,0.3521,,,0,,Kepler,Transit
Kepler-1674 b,Kepler-1674,b,2020,62.56,3.206,128337,79750,10.4,0.314,,,0,,Kepler,Transit
Kepler-1675 b,Kepler-1675,b,2020,63.04,3.125,125094,77735,9.9,0.3249,,,0,,Kepler,Transit
Kepler-1676 b,Kepler-1676,b,2020,29.92,3.377,135182,84003,11.3,0.2922,,,0,,Kepler,Transit
Kepler-1677 b,Kepler-1677,b,2020,22.06,2.702,108162,67213,7.8,0.392,,,0,,Kepler,Transit
Kepler-1678 b,Kepler-1678,b,2020,147.97,3.304,132260,82187,10.9,0.3013,,,0,,Kepler,Transit
Kepler-1679 b,Kepler-1679,b,2020,9.75,2.069,82822,51467,4.9,0.5554,,,0,,Kepler,Transit
Kepler-168 b,Kepler-168,b,2014,4.43,1.46,58444,36318,2.7,0.8748,967,1773,0,725.06,Kepler,Transit
Kepler-168 c,Kepler-168,c,2014,13.19,2.69,107681,66914,7.7,0.3938,589,1092,0,169,Kepler,Transit
Kepler-1680 b,Kepler-1680,b,2020,8.77,1.36,54441,33830,2.4,0.9601,,,0,,Kepler,Transit
Kepler-1681 b,Kepler-1681,b,2020,69.9,2.553,102197,63506,7,0.4229,,,0,,Kepler,Transit
Kepler-1682 b,Kepler-1682,b,2020,14.83,2.889,115647,71864,8.7,0.3593,,,0,,Kepler,Transit
Kepler-1683 b,Kepler-1683,b,2020,15.03,1.875,75057,46641,4.2,0.6316,,,0,,Kepler,Transit
Kepler-1684 b,Kepler-1684,b,2020,47.71,2.871,114927,71417,8.6,0.363,,,0,,Kepler,Transit
Kepler-1685 b,Kepler-1685,b,2020,20.49,2.577,103158,64103,7.2,0.4174,,,0,,Kepler,Transit
Kepler-1686 b,Kepler-1686,b,2020,9.31,1.426,57083,35472,2.6,0.902,,,0,,Kepler,Transit
Kepler-1687 b,Kepler-1687,b,2020,5.78,1.656,66290,41193,3.4,0.7423,,,0,,Kepler,Transit
Kepler-1688 b,Kepler-1688,b,2020,5.62,1.262,50518,31392,2.1,1.0581,,,0,,Kepler,Transit
Kepler-1689 b,Kepler-1689,b,2020,8.48,0.947,37909,23557,0.8,0.9383,,,0,,Kepler,Transit
Kepler-169 b,Kepler-169,b,2014,3.25,1.13,45234,28109,1.5,1.0436,689,1272,0,195.22,Kepler,Transit
Kepler-169 c,Kepler-169,c,2014,6.2,1.21,48437,30099,1.9,1.0817,503,937,0,82.85,Kepler,Transit
Kepler-169 d,Kepler-169,d,2014,8.35,1.25,50038,31094,2.1,1.0726,429,804,0,55.53,Kepler,Transit
Kepler-169 e,Kepler-169,e,2014,13.77,2.2,88066,54725,5.5,0.5136,322,612,0,28.55,Kepler,Transit
Kepler-169 f,Kepler-169,f,2014,87.09,2.58,103278,64178,7.2,0.4174,48,118,0,2.44,Kepler,Transit
Kepler-1690 b,Kepler-1690,b,2020,234.64,2.811,112525,69924,8.3,0.3721,,,0,,Kepler,Transit
Kepler-1691 b,Kepler-1691,b,2020,3.85,1.835,73455,45646,4,0.6497,,,0,,Kepler,Transit
Kepler-1692 b,Kepler-1692,b,2020,5.96,1.112,44514,27661,1.4,1.0309,,,0,,Kepler,Transit
Kepler-1693 b,Kepler-1693,b,2020,12.1,1.289,51599,32064,2.2,1.029,,,0,,Kepler,Transit
Kepler-1694 b,Kepler-1694,b,2020,3.9,1.18,47236,29353,1.8,1.069,,,0,,Kepler,Transit
Kepler-1695 b,Kepler-1695,b,2020,4.73,1.119,44794,27835,1.5,1.0381,,,0,,Kepler,Transit
Kepler-1696 b,Kepler-1696,b,2020,65.94,2.81,112485,69899,8.3,0.3721,,,0,,Kepler,Transit
Kepler-1697 b,Kepler-1697,b,2020,33.5,1.26,50438,31343,2.1,1.0581,,,0,,Kepler,Transit
Kepler-1698 b,Kepler-1698,b,2020,1.21,1.073,42952,26691,1.2,1.0091,,,0,,Kepler,Transit
Kepler-1699 b,Kepler-1699,b,2020,3.49,1.567,62727,38979,3.1,0.7985,,,0,,Kepler,Transit
Kepler-17 b,Kepler-17,b,2011,1.49,14.68,587643,365167,778.6,0.245,1297,2367,0,1481.77,Kepler,Transit
Kepler-170 b,Kepler-170,b,2014,7.93,3.2,128097,79600,82.6,2.5227,626,1159,0,136.52,Kepler,Transit
Kepler-170 c,Kepler-170,c,2014,16.67,2.86,114486,71143,8.6,0.3648,429,804,0,50.68,Kepler,Transit
Kepler-1700 b,Kepler-1700,b,2020,234.24,2.901,116128,72163,8.8,0.3575,,,0,,Kepler,Transit
Kepler-1701 b,Kepler-1701,b,2020,169.13,2.222,88947,55273,5.6,0.5064,,,2,,Kepler,Transit
Kepler-1702 b,Kepler-1702,b,2020,18.5,1.602,64128,39850,3.2,0.7768,,,0,,Kepler,Transit
Kepler-171 b,Kepler-171,b,2014,4.17,2.34,93671,58208,6.1,0.4737,780,1436,0,304.18,Kepler,Transit
Kepler-171 c,Kepler-171,c,2014,11.46,2.56,102477,63680,7.1,0.4211,479,894,0,78.91,Kepler,Transit
Kepler-171 d,Kepler-171,d,2014,39.6,1.89,75657,47014,4.2,0.6243,224,435,0,15.1,Kepler,Transit
Kepler-172 b,Kepler-172,b,2014,2.94,2.35,94071,58457,6.1,0.4701,983,1801,0,639.48,Kepler,Transit
Kepler-172 c,Kepler-172,c,2014,6.39,2.86,114486,71143,8.6,0.3648,697,1287,0,227.22,Kepler,Transit
Kepler-172 d,Kepler-172,d,2014,14.63,2.25,90068,55969,5.7,0.4973,463,865,0,75.29,Kepler,Transit
Kepler-172 e,Kepler-172,e,2014,35.12,2.76,110483,68655,8,0.3811,277,531,0,23.43,Kepler,Transit
Kepler-173 b,Kepler-173,b,2014,4.26,1.29,51639,32089,2.2,1.0272,906,1663,0,599.5,Kepler,Transit
Kepler-173 c,Kepler-173,c,2014,8.01,2.43,97273,60447,6.5,0.4501,683,1261,0,258.42,Kepler,Transit
Kepler-174 b,Kepler-174,b,2014,13.98,1.96,78459,48755,4.5,0.5953,280,536,0,24.42,Kepler,Transit
Kepler-174 c,Kepler-174,c,2014,44,1.49,59645,37064,2.8,0.853,104,219,0,5.3,Kepler,Transit
Kepler-174 d,Kepler-174,d,2014,247.35,2.19,87666,54477,5.4,0.5154,-61,-78,2,0.53,Kepler,Transit
Kepler-175 b,Kepler-175,b,2014,11.9,2.56,102477,63680,7.1,0.4211,554,1029,0,129.64,Kepler,Transit
Kepler-175 c,Kepler-175,c,2014,34.04,3.1,124094,77113,9.8,0.3285,310,590,0,31.95,Kepler,Transit
Kepler-176 b,Kepler-176,b,2014,5.43,1.43,57243,35571,2.6,0.8966,568,1054,0,123.8,Kepler,Transit
Kepler-176 c,Kepler-176,c,2014,12.76,2.6,104078,64675,23,1.3049,360,680,0,39.63,Kepler,Transit
Kepler-176 d,Kepler-176,d,2014,25.75,2.51,100476,62437,15.2,0.9583,228,442,0,15.54,Kepler,Transit
Kepler-176 e,Kepler-176,e,2016,51.17,1.45,58044,36069,2.7,0.8838,125,257,0,6.22,Kepler,Transit
Kepler-177 b,Kepler-177,b,2013,35.86,3.5,140106,87063,5.8,0.1361,276,529,0,30.4,Kepler,Transit
Kepler-177 c,Kepler-177,c,2013,49.41,8.73,349463,217160,14.7,0.022,224,435,0,25.4,Kepler,Transit
Kepler-178 b,Kepler-178,b,2014,9.58,2.9,116088,72138,8.8,0.3575,573,1063,0,84.57,Kepler,Transit
