name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,solar_flux,habit_code,habzone,temp_c,temp_f,temp_class,type,disc_facility,disc_method,star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
55 Cnc f,55 Cnc,f,2007,262.0,7.59,"303,829","188,802",44.8,0.1022,,0.0,2.0,,,Warm,Neptunian,Multiple Observatories,Radial Velocity,55 Cnc,K0 IV-V,5250,0.96,0.95,-0.197,4.42,5.5,1.41851,37.6989,196.7947,12.5855,2,5,0
6 Lyn b,6 Lyn,b,2008,934.3,13.4,"536,404","333,327",638.8,0.265,,0.0,0.0,,,Hot,Jovian,Okayama Astrophysical Observatory,Radial Velocity,6 Lyn,K0 IV,4938,5.2,1.44,1.176,3.19,,,20.18979,156.9714,54.6599,1,1,0
61 Vir b,61 Vir,b,2009,4.22,2.11,"84,464","52,487",5.1,0.5408,,0.0,0.0,,,Hot,Superterran,Multiple Observatories,Radial Velocity,61 Vir,G5 V,5577,0.96,0.94,-0.095,4.34,8.96,,44.09261,311.8591,8.50332,1,3,0
61 Vir c,61 Vir,c,2009,38.02,4.46,"178,535","110,943",18.2,0.2051,,0.0,0.0,,,Hot,Neptunian,Multiple Observatories,Radial Velocity,61 Vir,G5 V,5577,0.96,0.94,-0.095,4.34,8.96,,44.09261,311.8591,8.50332,1,3,0
61 Vir d,61 Vir,d,2009,123.01,5.11,"204,554","127,112",22.9,0.1711,,0.0,0.0,,,Hot,Neptunian,Multiple Observatories,Radial Velocity,61 Vir,G5 V,5577,0.96,0.94,-0.095,4.34,8.96,,44.09261,311.8591,8.50332,1,3,0
7 CMa b,7 CMa,b,2011,735.1,13.4,"536,404","333,327",588.0,0.2432,,0.0,2.0,,,Warm,Jovian,Anglo-Australian Telescope,Radial Velocity,7 CMa,K1 III,4826,4.87,1.34,1.063,3.19,4.3,,-11.79608,228.6884,19.8101,1,2,0
7 CMa c,7 CMa,c,2019,996.0,13.9,"556,419","345,764",276.5,0.1027,,0.0,,,,,,Multiple Observatories,Radial Velocity,7 CMa,K1 III,4826,4.87,1.34,1.063,3.19,4.3,,-11.79608,228.6884,19.8101,1,2,0
70 Vir b,70 Vir,b,1996,116.69,12.6,"504,380","313,427",2380.4,1.1869,,0.0,0.0,,,Hot,Jovian,Lick Observatory,Radial Velocity,70 Vir,,5495,1.89,1.09,0.451,3.95,7.77,,74.10069,337.6654,17.9011,1,1,0
75 Cet b,75 Cet,b,2012,691.9,13.1,"524,395","325,864",953.5,0.4229,,0.0,0.0,,,Hot,Jovian,Okayama Astrophysical Observatory,Radial Velocity,75 Cet,G3 III,4846,10.5,2.49,1.73,2.63,,,-54.4416,169.9442,82.9613,2,1,0
8 UMi b,8 UMi,b,2015,93.4,13.6,"544,410","338,302",416.4,0.1652,,0.0,0.0,,,Hot,Jovian,Bohyunsan Optical Astronomical Observatory,Radial Velocity,8 UMi,K0,4847,10.3,1.44,1.72,2.57,1.7,,39.66104,112.795,162.552,1,1,0
81 Cet b,81 Cet,b,2008,952.7,12.8,"512,386","318,402",1684.4,0.8004,,0.0,0.0,,,Hot,Jovian,Okayama Astrophysical Observatory,Radial Velocity,81 Cet,G5 III,4785,11,2.4,1.778,2.35,,,-55.24994,174.4865,101.26,1,1,0
91 Aqr b,91 Aqr,b,2013,181.4,13.1,"524,395","325,864",1017.0,0.4519,,0.0,0.0,,,Hot,Jovian,Lick Observatory,Radial Velocity,91 Aqr,K0 III,4665,11,1.4,1.71,2.52,3.56,,-61.11204,67.07209,44.0304,3,1,0
AB Pic b,AB Pic,b,2005,,12.3,"492,371","305,964",4290.5,2.3049,,0.0,0.0,,,,Jovian,Paranal Observatory,Imaging,AB Pic,K2 V,,,,,,0.03,,-26.9309,266.9437,50.0475,1,1,0
HAT-P-27 b,HAT-P-27,b,2011,3.04,11.43,"457,545","284,323",197.0,0.1379,,0.0,0.0,,,Hot,Jovian,HATNet,Transit,HAT-P-27,G8,5316,0.86,0.92,-0.269,4.53,4.4,1.99758,54.54392,1.683503,199.173,1,1,0
AU Mic b,AU Mic,b,2020,8.46,4.203,"168,247","104,550",57.2,0.7985,,0.0,,,,,,Transiting Exoplanet Survey Satellite (TESS),Transit,AU Mic,,3700,0.75,0.5,-1.046,,0.022,,-36.8025,12.65461,9.7221,1,1,0
BD+03 2562 b,BD+03 2562,b,2017,481.9,12.7,"508,383","315,914",2034.1,0.9909,,0.0,0.0,,,Hot,Jovian,Multiple Observatories,Radial Velocity,BD+03 2562,,4095,32.35,1.14,2.7,1.89,5.2,,61.57347,269.3253,1070.63,1,1,0
BD+14 4559 b,BD+14 4559,b,2009,268.94,13.8,"552,416","343,277",330.5,0.1254,,0.0,2.0,,,Warm,Jovian,McDonald Observatory,Radial Velocity,BD+14 4559,K2 V,4864,0.86,0.49,-0.32,4.26,,,-22.63093,64.41769,49.352,1,1,0
BD+15 2375 b,BD+15 2375,b,2016,153.22,13.8,"552,416","343,277",337.2,0.1279,,0.0,0.0,,,Hot,Jovian,Roque de los Muchachos Observatory,Radial Velocity,BD+15 2375,,4649,8.95,1.08,1.57,2.61,7.41,,70.27257,249.0023,768.045,1,1,0
BD+15 2940 b,BD+15 2940,b,2013,137.48,13.7,"548,413","340,789",352.8,0.1368,,0.0,0.0,,,Hot,Jovian,McDonald Observatory,Radial Velocity,BD+15 2940,K0,4796,14.7,1.1,2.01,2.8,7.1,,44.78024,28.10452,426.42,1,1,0
BD+20 2457 b,BD+20 2457,b,2009,379.63,11.6,"464,350","288,552",17668.2,11.2886,,0.0,0.0,,,Hot,Jovian,McDonald Observatory,Radial Velocity,BD+20 2457,K2 II,4259,71.02,10.83,3.17,1.77,,,53.95245,216.0446,1539.71,1,2,0
BD+20 2457 c,BD+20 2457,c,2009,621.99,12.4,"496,374","308,452",3963.2,2.069,,0.0,0.0,,,Hot,Jovian,McDonald Observatory,Radial Velocity,BD+20 2457,K2 II,4259,71.02,10.83,3.17,1.77,,,53.95245,216.0446,1539.71,1,2,0
BD+20 274 b,BD+20 274,b,2012,578.2,13.0,"520,392","323,377",1334.9,0.6062,,0.0,0.0,,,Hot,Jovian,McDonald Observatory,Radial Velocity,BD+20 274,K5 III,4296,17.3,0.8,1.96,1.99,,,-40.23344,138.9742,1322.51,1,1,0
BD+20 594 b,BD+20 594,b,2016,41.69,2.578,"103,198","64,128",22.2,1.4319,,0.0,0.0,273.0,523.0,Hot,Neptunian,K2,Transit,BD+20 594,G,5766,1.08,1.67,-0.056,4.5,3.34,1.89,-28.05341,166.7963,179.461,1,1,0
BD+48 738 b,BD+48 738,b,2011,392.6,13.9,"556,419","345,764",289.2,0.1074,,0.0,0.0,,,Hot,Jovian,McDonald Observatory,Radial Velocity,BD+48 738,K0 III,4414,11,0.74,1.69,2.24,,,-9.378678,140.8085,871.493,1,1,0
BD+48 740 b,BD+48 740,b,2018,733.0,13.5,"540,407","335,814",540.3,0.2196,,0.0,0.0,,,Hot,Jovian,Multiple Observatories,Radial Velocity,BD+48 740,,4534,10.33,1.09,1.64,2.48,,,-9.965327,141.1091,666.589,1,1,0
BD+49 828 b,BD+49 828,b,2015,2590.0,13.5,"540,407","335,814",508.5,0.2069,,0.0,0.0,,,Hot,Jovian,McDonald Observatory,Radial Velocity,BD+49 828,K0,4943,7.6,1.52,1.47,2.85,2.34,,-7.801708,143.6179,442.042,1,1,0
BD-06 1339 b,BD-06 1339,b,2013,3.87,2.85,"114,086","70,894",8.5,0.3666,,0.0,0.0,,,Hot,Superterran,La Silla Observatory,Radial Velocity,BD-06 1339,K7/M0 V,4324,,0.7,-1.022,4.74,4.4,,-15.71535,211.6566,20.2695,1,2,0
BD-06 1339 c,BD-06 1339,c,2013,125.94,8.38,"335,453","208,454",53.0,0.0898,,0.0,2.0,,,Warm,Jovian,La Silla Observatory,Radial Velocity,BD-06 1339,K7/M0 V,4324,,0.7,-1.022,4.74,4.4,,-15.71535,211.6566,20.2695,1,2,0
BD-08 2823 b,BD-08 2823,b,2009,5.6,3.61,"144,509","89,799",12.7,0.2686,,0.0,0.0,,,Hot,Neptunian,La Silla Observatory,Radial Velocity,BD-08 2823,K3 V,4816,0.71,0.5,-0.611,4.43,4.5,,34.75598,248.4966,41.3342,1,2,0
BD-08 2823 c,BD-08 2823,c,2009,237.6,12.5,"500,377","310,939",104.0,0.0532,,0.0,2.0,,,Warm,Jovian,La Silla Observatory,Radial Velocity,BD-08 2823,K3 V,4816,0.71,0.5,-0.611,4.43,4.5,,34.75598,248.4966,41.3342,1,2,0
BD-10 3166 b,BD-10 3166,b,2000,3.49,14.1,"564,425","350,739",187.5,0.0668,,0.0,0.0,,,Hot,Jovian,W. M. Keck Observatory,Radial Velocity,BD-10 3166,K0 V,5393,0.91,1.47,-0.199,4.69,,,43.23842,263.2855,84.4069,1,1,0
BD-11 4672 b,BD-11 4672,b,2014,1634.0,14.1,"564,425","350,739",206.6,0.0735,,0.0,0.0,,,Cold,Jovian,La Silla Observatory,Radial Velocity,BD-11 4672,K7 V,4550,0.64,0.65,-0.804,4.64,7.4,3.53,-1.360227,20.54434,27.1665,1,2,0
BD-11 4672 c,BD-11 4672,c,2020,74.2,4.04,"161,722","100,496",15.4,0.2323,,0.0,,,,,,Roque de los Muchachos Observatory,Radial Velocity,BD-11 4672,K7 V,4550,0.64,0.65,-0.804,4.64,7.4,3.53,-1.360227,20.54434,27.1665,1,2,0
BD-13 2130 b,BD-13 2130,b,2007,714.3,12.5,"500,377","310,939",3108.4,1.588,,0.0,0.0,,,Hot,Jovian,La Silla Observatory,Radial Velocity,BD-13 2130,,4545,19.17,2.12,2.15,2.2,0.74,,3.53128,230.5205,925.214,1,1,0
BD-17 63 b,BD-17 63,b,2008,655.6,12.8,"512,386","318,402",1620.9,0.7713,,0.0,0.0,,,Cold,Jovian,La Silla Observatory,Radial Velocity,BD-17 63,K5 V,4714,0.69,0.74,-0.678,4.26,4.3,,-77.878,95.83883,34.4603,1,1,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,b,2011,10037.5,12.4,"496,374","308,452",3337.1,1.7459,,0.0,0.0,97.0,207.0,Cold,Jovian,W. M. Keck Observatory,Imaging,CFBDSIR J145829+101343,,580.5,,0.02,,4.72,,,55.6550909,9.594193,,1,1,0
CHXR 73 b,CHXR 73,b,2006,,12.3,"492,371","305,964",3994.5,2.1416,,0.0,0.0,,,,Jovian,Hubble Space Telescope,Imaging,CHXR 73,M3.5,,,0.35,,,0.002,,-15.92177,297.2777,190.374,1,1,0
CI Tau b,CI Tau,b,2019,8.99,12.4,"496,374","308,452",3686.8,1.9238,,0.0,0.0,,,,Jovian,Multiple Observatories,Radial Velocity,CI Tau,K7,,,0.9,-0.108,,0.003,,-16.63606,175.4643,157.998,1,1,0
CT Cha b,CT Cha,b,2007,,24.66,"987,144","613,421",5403.0,0.3593,,0.0,0.0,2327.0,4221.0,,Jovian,Paranal Observatory,Imaging,CT Cha,,,,,,,0.002,,-14.90925,296.6537,190.72,1,1,0
CoRoT-1 b,CoRoT-1,b,2008,1.51,16.7,"668,504","415,415",327.4,0.069,,0.0,0.0,1625.0,2957.0,Hot,Jovian,CoRoT,Transit,CoRoT-1,G0 V,5950,1.11,0.95,0.144,4.25,1.6,0.93,-2.107101,215.3388,787.909,1,1,0
CoRoT-10 b,CoRoT-10,b,2010,13.24,10.87,"435,128","270,393",874.0,0.6715,,0.0,0.0,327.0,621.0,Hot,Jovian,CoRoT,Transit,CoRoT-10,K1 V,5075,0.79,0.89,-0.428,4.65,3,3.32,-6.95296,37.36079,338.386,1,1,0
CoRoT-11 b,CoRoT-11,b,2010,2.99,16.03,"641,684","398,748",740.5,0.1797,,0.0,0.0,1384.0,2523.0,Hot,Jovian,CoRoT,Transit,CoRoT-11,F6 V,6440,1.37,1.27,0.464,4.22,2,0.69,4.630068,37.24011,655.037,1,1,0
CoRoT-12 b,CoRoT-12,b,2010,2.83,16.14,"646,087","401,485",291.4,0.0746,,0.0,0.0,1169.0,2136.0,Hot,Jovian,CoRoT,Transit,CoRoT-12,,5675,1.12,1.08,0.07,4.38,6.3,1.08,-2.454414,213.1315,1126.37,1,1,0
