name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,solar_flux,habit_code,habzone,temp_c,temp_f,temp_class,type,disc_facility,disc_method,star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
Kepler-1420 b,Kepler-1420,b,2016,6.7,1.28,"51,239","31,840",2.2,1.0363,131.53,0.0,0.0,533.0,991.0,Hot,Terran,Kepler,Transit,Kepler-1420,,5187.0,0.79,0.82,-0.23199999999999998,4.57,4.9,2.60281,9.143881,76.59869,1054.37,1,1,0
Kepler-1421 b,Kepler-1421,b,2016,6.91,0.93,"37,228","23,134",0.7,0.9292,649.15,0.0,0.0,936.0,1717.0,Hot,Terran,Kepler,Transit,Kepler-1421,,6335.0,1.42,1.25,0.599,4.23,2.75,0.36798000000000003,17.66822,79.03588,783.4010000000001,1,1,0
Kepler-1422 b,Kepler-1422,b,2016,18.61,2.02,"80,861","50,248",4.7,0.5735,156.9,0.0,0.0,560.0,1040.0,Hot,Superterran,Kepler,Transit,Kepler-1422,,6194.0,1.23,1.15,0.447,4.32,3.02,0.43843000000000004,13.14678,80.8618,2465.84,1,1,0
Kepler-1423 b,Kepler-1423,b,2016,23.96,1.06,"42,432","26,368",1.2,1.0054,71.16,0.0,0.0,468.0,874.0,Hot,Terran,Kepler,Transit,Kepler-1423,,4939.0,0.75,0.79,-0.52,4.59,4.68,6.49067,13.70309,72.38906999999999,,1,1,0
Kepler-1424 b,Kepler-1424,b,2016,29.61,1.16,"46,435","28,855",1.6,1.0544,37.12,0.0,0.0,356.0,673.0,Hot,Terran,Kepler,Transit,Kepler-1424,,5838.0,1.07,1.02,0.079,4.39,5.25,1.18792,11.4422,72.47788,661.421,1,1,0
Kepler-1425 b,Kepler-1425,b,2016,14.45,0.94,"37,628","23,383",0.8,0.9347,216.41,0.0,0.0,403.0,757.0,Hot,Terran,Kepler,Transit,Kepler-1425,,5718.0,0.95,0.97,0.39799999999999996,4.47,4.07,0.21194000000000002,10.063180000000001,76.36694,863.873,1,1,0
Kepler-1426 b,Kepler-1426,b,2016,14.26,1.56,"62,447","38,805",3.0,0.8004,95.22,0.0,0.0,524.0,975.0,Hot,Superterran,Kepler,Transit,Kepler-1426,,5831.0,1.02,1.02,0.035,4.43,4.07,1.2153399999999999,14.411710000000001,81.47089,1697.81,1,1,0
Kepler-1427 b,Kepler-1427,b,2016,0.97,1.1,"44,033","27,363",1.4,1.0272,2730.51,0.0,0.0,1571.0,2860.0,Hot,Terran,Kepler,Transit,Kepler-1427,,5793.0,1.01,1.01,0.016,4.44,4.07,2.4494,10.79186,78.39289000000001,,1,1,0
Kepler-1428 b,Kepler-1428,b,2016,10.68,1.64,"65,649","40,795",3.3,0.7532,817.58,0.0,0.0,776.0,1429.0,Hot,Superterran,Kepler,Transit,Kepler-1428,,6184.0,1.36,1.28,0.9440000000000001,4.28,2.04,0.9383100000000001,11.538689999999999,83.16551,1530.32,1,1,0
Kepler-1429 b,Kepler-1429,b,2016,4.48,1.29,"51,639","32,089",2.2,1.0272,551.16,0.0,0.0,926.0,1699.0,Hot,Terran,Kepler,Transit,Kepler-1429,,5902.0,1.07,1.05,0.138,4.4,4.17,1.63772,18.59366,79.23028000000001,1214.09,1,1,0
Kepler-143 b,Kepler-143,b,2014,16.01,2.41,"96,473","59,949",6.4,0.4555,118.33,0.0,0.0,565.0,1049.0,Hot,Superterran,Kepler,Transit,Kepler-143,,5848.0,1.36,1.06,0.29,4.2,5.62,89.87267,11.20875,83.13781,809.467,1,2,0
Kepler-143 c,Kepler-143,c,2014,27.08,3.37,"134,902","83,829",11.3,0.294,58.7,0.0,0.0,430.0,806.0,Hot,Neptunian,Kepler,Transit,Kepler-143,,5848.0,1.36,1.06,0.29,4.2,5.62,89.87267,11.20875,83.13781,809.467,1,2,0
Kepler-1430 b,Kepler-1430,b,2016,2.46,1.18,"47,236","29,353",1.8,1.069,208.54,0.0,0.0,696.0,1285.0,Hot,Terran,Kepler,Transit,Kepler-1430,,4796.0,0.72,0.77,-0.607,4.62,2.09,2.636,13.65722,74.96665,875.523,1,1,0
Kepler-1431 b,Kepler-1431,b,2016,5.87,1.47,"58,844","36,566",2.8,0.8657,469.82,0.0,0.0,791.0,1456.0,Hot,Terran,Kepler,Transit,Kepler-1431,,5806.0,1.03,1.03,0.243,4.42,4.27,0.71412,14.535429999999998,81.92218000000001,1623.24,1,1,0
Kepler-1432 b,Kepler-1432,b,2016,23.91,2.22,"88,867","55,223",5.6,0.5064,119.24,0.0,0.0,436.0,817.0,Hot,Superterran,Kepler,Transit,Kepler-1432,,6031.0,1.13,1.09,0.449,4.37,3.47,1.3220100000000001,12.859589999999999,82.72417,2171.87,1,1,0
Kepler-1433 b,Kepler-1433,b,2016,4.14,1.56,"62,447","38,805",3.0,0.8004,535.42,0.0,0.0,953.0,1747.0,Hot,Superterran,Kepler,Transit,Kepler-1433,,6097.0,1.19,1.14,0.247,4.34,3.02,1.65579,17.52261,80.12383,,1,1,0
Kepler-1434 b,Kepler-1434,b,2016,8.05,1.11,"44,433","27,611",1.4,1.029,925.29,0.0,0.0,1047.0,1917.0,Hot,Terran,Kepler,Transit,Kepler-1434,,6291.0,2.04,1.47,0.862,3.98,2.57,0.10880999999999999,13.472979999999998,83.98621999999999,775.529,1,1,0
Kepler-1435 b,Kepler-1435,b,2016,4.45,0.86,"34,426","21,393",0.6,0.8875,893.89,0.0,0.0,1058.0,1936.0,Hot,Terran,Kepler,Transit,Kepler-1435,,6356.0,1.32,1.21,0.46799999999999997,4.28,2.63,0.63089,13.34795,76.86995,704.211,1,1,0
Kepler-1436 b,Kepler-1436,b,2016,9.71,1.31,"52,440","32,586",2.3,1.0073,772.08,0.0,0.0,728.0,1342.0,Hot,Terran,Kepler,Transit,Kepler-1436,,5972.0,1.09,1.06,0.135,4.39,3.8,0.21434,10.13498,80.66657,2530.62,1,1,0
Kepler-1437 b,Kepler-1437,b,2016,10.93,1.37,"54,841","34,079",2.4,0.951,83.14,0.0,0.0,497.0,927.0,Hot,Terran,Kepler,Transit,Kepler-1437,,5557.0,0.9,0.93,-0.157,4.51,4.57,0.44297,14.77573,81.19306,2101.69,1,1,0
Kepler-1438 b,Kepler-1438,b,2016,2.32,0.94,"37,628","23,383",0.8,0.9347,561.12,0.0,0.0,1217.0,2223.0,Hot,Terran,Kepler,Transit,Kepler-1438,,5530.0,0.96,0.97,0.12300000000000001,4.46,5.37,3.7238,12.805860000000001,72.32647,1154.13,1,1,0
Kepler-1439 b,Kepler-1439,b,2016,8.07,1.46,"58,444","36,318",2.7,0.8748,9.08,0.0,0.0,147.0,297.0,Hot,Terran,Kepler,Transit,Kepler-1439,,3578.0,0.43,0.46,-1.544,4.83,4.07,6.985460000000001,15.383,71.48784,225.393,1,1,0
Kepler-144 b,Kepler-144,b,2014,5.89,1.33,"53,240","33,084",2.3,0.9873,426.72,0.0,0.0,980.0,1796.0,Hot,Terran,Kepler,Transit,Kepler-144,,6075.0,1.24,1.15,0.282,4.29,0.94,0.78667,18.68905,72.14745,384.917,1,2,0
Kepler-144 c,Kepler-144,c,2014,10.1,1.35,"54,041","33,581",2.4,0.9691,207.25,0.0,0.0,773.0,1423.0,Hot,Terran,Kepler,Transit,Kepler-144,,6075.0,1.24,1.15,0.282,4.29,0.94,0.78667,18.68905,72.14745,384.917,1,2,0
Kepler-1440 b,Kepler-1440,b,2016,39.86,1.26,"50,438","31,343",2.1,1.0617,44.73,0.0,0.0,324.0,615.0,Hot,Terran,Kepler,Transit,Kepler-1440,,5698.0,0.96,0.98,0.377,4.46,4.47,0.35257,18.35057,78.50149,1115.35,1,1,0
Kepler-1441 b,Kepler-1441,b,2016,39.44,1.31,"52,440","32,586",2.3,1.0073,33.05,0.0,0.0,409.0,768.0,Hot,Terran,Kepler,Transit,Kepler-1441,,5802.0,1.0,1.0,0.325,4.45,3.89,0.8918200000000001,10.91323,76.0455,1110.48,1,1,0
Kepler-1442 b,Kepler-1442,b,2016,81.42,3.93,"157,319","97,759",14.7,0.2414,25.97,0.0,0.0,249.0,480.0,Hot,Neptunian,Kepler,Transit,Kepler-1442,,6394.0,1.44,1.34,0.6509999999999999,4.25,1.7,0.37809,14.940529999999999,80.57101999999999,608.68,1,1,0
Kepler-1443 b,Kepler-1443,b,2016,2.42,0.97,"38,829","24,129",0.9,0.951,2809.16,0.0,0.0,1329.0,2424.0,Hot,Terran,Kepler,Transit,Kepler-1443,,6289.0,1.27,1.19,0.561,4.3,2.63,0.45275,19.13232,76.80049,593.646,1,1,0
Kepler-1444 b,Kepler-1444,b,2016,33.42,2.18,"87,266","54,228",5.4,0.5191,25.94,0.0,0.0,308.0,586.0,Hot,Superterran,Kepler,Transit,Kepler-1444,,5810.0,1.05,1.03,0.021,4.4,4.79,1.1980600000000001,16.0725,72.38334,319.675,1,1,0
Kepler-1445 b,Kepler-1445,b,2016,10.6,0.96,"38,429","23,880",0.8,0.9474,248.55,0.0,0.0,714.0,1317.0,Hot,Terran,Kepler,Transit,Kepler-1445,,6150.0,1.26,1.13,0.34,4.28,3.8,0.77032,20.209979999999998,72.86162,506.35699999999997,1,1,0
Kepler-1446 b,Kepler-1446,b,2016,0.69,0.82,"32,825","20,398",0.5,0.8621,1213.33,0.0,0.0,1266.0,2311.0,Hot,Terran,Kepler,Transit,Kepler-1446,,4865.0,0.75,0.81,-0.6509999999999999,4.6,2.63,3.39604,15.203660000000001,78.04652,152.075,1,1,0
Kepler-1447 b,Kepler-1447,b,2016,56.67,2.9,"116,088","72,138",8.8,0.3575,10.35,0.0,0.0,249.0,480.0,Hot,Neptunian,Kepler,Transit,Kepler-1447,,5722.0,0.95,0.97,-0.042,4.47,4.17,3.1052299999999997,16.64527,81.93072,890.296,1,1,0
Kepler-1448 b,Kepler-1448,b,2016,12.27,1.61,"64,449","40,049",3.2,0.7695,86.64,0.0,0.0,538.0,1000.0,Hot,Superterran,Kepler,Transit,Kepler-1448,,5774.0,0.93,0.95,-0.069,4.49,3.55,3.52728,17.63875,81.35970999999999,768.903,1,1,0
Kepler-1449 b,Kepler-1449,b,2016,13.23,1.68,"67,251","41,790",3.5,0.7278,271.88,0.0,0.0,594.0,1101.0,Hot,Superterran,Kepler,Transit,Kepler-1449,,5979.0,1.1,1.08,0.509,4.39,3.47,0.50978,17.413510000000002,81.42218000000001,2006.48,1,1,0
Kepler-145 b,Kepler-145,b,2013,22.95,2.65,"106,080","65,919",37.1,1.9964,154.71,0.0,0.0,600.0,1112.0,Hot,Neptunian,Kepler,Transit,Kepler-145,,6022.0,1.85,1.32,0.6920000000000001,4.02,3.24,0.20152,13.04278,76.57266,566.85,1,2,0
Kepler-145 c,Kepler-145,c,2013,42.88,4.32,"172,930","107,461",79.4,0.9819,67.19,0.0,0.0,436.0,817.0,Hot,Jovian,Kepler,Transit,Kepler-145,,6022.0,1.85,1.32,0.6920000000000001,4.02,3.24,0.20152,13.04278,76.57266,566.85,1,2,0
Kepler-1450 b,Kepler-1450,b,2016,54.51,1.71,"68,452","42,536",3.6,0.7114,3.08,0.0,0.0,35.0,95.0,Hot,Superterran,Kepler,Transit,Kepler-1450,,4524.0,0.68,0.71,-0.768,4.63,4.37,6.53451,11.27462,78.09821,505.829,1,1,0
Kepler-1451 b,Kepler-1451,b,2016,35.62,3.35,"134,101","83,332",11.2,0.2976,18.75,0.0,0.0,250.0,482.0,Hot,Neptunian,Kepler,Transit,Kepler-1451,,5782.0,0.99,1.0,-0.11900000000000001,4.45,4.17,2.56109,9.85105,73.49723,1058.72,1,1,0
Kepler-1452 b,Kepler-1452,b,2016,42.91,2.7,"108,081","67,163",7.8,0.392,73.5,0.0,0.0,537.0,999.0,Hot,Neptunian,Kepler,Transit,Kepler-1452,,6101.0,2.06,1.41,0.721,3.95,3.24,0.14148,9.573186999999999,71.19613000000001,996.32,1,1,0
Kepler-1453 b,Kepler-1453,b,2016,47.16,2.67,"106,881","66,417",7.6,0.3993,11.89,0.0,0.0,230.0,446.0,Hot,Neptunian,Kepler,Transit,Kepler-1453,,5665.0,0.94,0.97,-0.14,4.48,4.27,6.422540000000001,17.7353,78.33699,1196.04,1,1,0
Kepler-1454 b,Kepler-1454,b,2016,47.03,1.88,"75,257","46,765",4.2,0.6298,9.08,0.0,0.0,219.0,426.0,Hot,Superterran,Kepler,Transit,Kepler-1454,,5448.0,0.86,0.9,-0.255,4.53,4.57,1.9653900000000002,19.226960000000002,78.74823,780.566,1,1,0
Kepler-1455 b,Kepler-1455,b,2016,49.28,2.16,"86,465","53,730",5.3,1.029,1.53,0.0,0.0,25.0,77.0,Hot,Superterran,Kepler,Transit,Kepler-1455,,4075.0,0.6,0.62,-1.141,4.68,4.17,4.07774,13.98595,82.92081,357.621,1,1,0
Kepler-1456 b,Kepler-1456,b,2016,18.14,1.14,"45,634","28,358",1.6,1.0436,8.23,0.0,0.0,160.0,320.0,Hot,Terran,Kepler,Transit,Kepler-1456,,4231.0,0.62,0.64,-0.9570000000000001,4.67,3.72,3.3089999999999997,15.6634,74.56569,370.31199999999995,1,1,0
Kepler-1457 b,Kepler-1457,b,2016,51.11,1.99,"79,660","49,502",4.6,0.5844,23.47,0.0,0.0,205.0,401.0,Hot,Superterran,Kepler,Transit,Kepler-1457,,5866.0,1.01,1.01,0.215,4.43,3.72,0.85946,17.14322,71.92098,889.885,1,1,0
Kepler-1458 b,Kepler-1458,b,2016,47.99,2.76,"110,483","68,655",8.0,0.3811,8.29,0.0,0.0,220.0,428.0,Hot,Neptunian,Kepler,Transit,Kepler-1458,,5653.0,0.94,0.96,-0.24,4.48,4.17,4.0635900000000005,17.17284,70.79736,544.45,1,1,0
Kepler-1459 b,Kepler-1459,b,2016,62.87,1.36,"54,441","33,830",2.4,0.9601,3.51,0.0,0.0,76.0,169.0,Hot,Terran,Kepler,Transit,Kepler-1459,,4828.0,0.74,0.78,-0.523,4.61,3.89,2.81287,19.43838,75.50294,455.47900000000004,1,1,0
Kepler-146 b,Kepler-146,b,2014,31.16,3.71,"148,512","92,287",13.3,0.2595,32.89,0.0,0.0,366.0,691.0,Hot,Neptunian,Kepler,Transit,Kepler-146,,5948.0,1.21,1.1,0.14800000000000002,4.31,2.7,2.0533,8.607426,72.21387,716.797,1,2,0
Kepler-146 c,Kepler-146,c,2014,76.73,3.13,"125,294","77,859",10.0,0.323,9.89,0.0,0.0,200.0,392.0,Hot,Neptunian,Kepler,Transit,Kepler-146,,5948.0,1.21,1.1,0.14800000000000002,4.31,2.7,2.0533,8.607426,72.21387,716.797,1,2,0
Kepler-1460 b,Kepler-1460,b,2016,29.96,1.96,"78,459","48,755",4.5,0.5953,5.47,0.0,0.0,118.0,244.0,Hot,Superterran,Kepler,Transit,Kepler-1460,,4422.0,0.67,0.7,-0.8440000000000001,4.64,3.98,14.956579999999999,16.65935,74.35131,553.2180000000001,1,1,0
Kepler-1461 b,Kepler-1461,b,2016,29.35,2.03,"81,261","50,497",4.8,0.5699,8.88,0.0,0.0,178.0,352.0,Hot,Superterran,Kepler,Transit,Kepler-1461,,4919.0,0.74,0.79,-0.645,4.6,3.24,2.65917,16.17106,73.64384,679.1060000000001,1,1,0
Kepler-1462 b,Kepler-1462,b,2016,65.65,3.82,"152,915","95,023",14.0,0.2505,4.7,0.0,0.0,117.0,243.0,Hot,Neptunian,Kepler,Transit,Kepler-1462,,5756.0,1.0,1.0,-0.314,4.45,4.07,1.49623,8.835433,76.33028,1017.82,1,1,0
Kepler-1463 b,Kepler-1463,b,2016,25.16,1.86,"74,456","46,268",4.1,0.6388,57.63,0.0,0.0,346.0,655.0,Hot,Superterran,Kepler,Transit,Kepler-1463,,5679.0,0.95,0.96,0.092,4.47,4.79,1.58864,9.896152,75.30202,1687.47,1,1,0
Kepler-1464 b,Kepler-1464,b,2016,31.78,1.66,"66,450","41,293",3.4,0.7387,89.47,0.0,0.0,291.0,556.0,Hot,Superterran,Kepler,Transit,Kepler-1464,,5828.0,1.01,1.02,0.43,4.44,3.89,0.46543999999999996,13.442979999999999,69.85245,1151.73,1,2,0
Kepler-1464 c,Kepler-1464,c,2016,5.33,1.0,"40,030","24,875",1.0,0.9691,968.55,0.0,0.0,750.0,1382.0,Hot,Terran,Kepler,Transit,Kepler-1464,,5828.0,1.01,1.02,0.43,4.44,3.89,0.46543999999999996,13.442979999999999,69.85245,1151.73,1,2,0
Kepler-1465 b,Kepler-1465,b,2016,31.83,1.77,"70,853","44,029",3.8,0.6806,6.25,0.0,0.0,395.0,743.0,Hot,Superterran,Kepler,Transit,Kepler-1465,,4726.0,0.71,0.75,-0.652,4.62,3.72,30.776609999999998,16.99673,83.11071,359.49699999999996,1,1,0
Kepler-1466 b,Kepler-1466,b,2016,31.18,1.55,"62,047","38,556",3.0,0.8094,21.88,0.0,0.0,312.0,594.0,Hot,Superterran,Kepler,Transit,Kepler-1466,,5884.0,1.02,1.01,-0.023,4.43,3.89,3.7435199999999997,14.082679999999998,76.16802,631.9490000000001,1,1,0
Kepler-1467 b,Kepler-1467,b,2016,47.06,3.3,"132,100","82,088",10.9,0.3031,7.92,0.0,0.0,138.0,280.0,Hot,Neptunian,Kepler,Transit,Kepler-1467,,5332.0,0.82,0.86,-0.35100000000000003,4.55,4.37,2.94942,11.08565,78.49829,852.888,1,1,0
Kepler-1468 b,Kepler-1468,b,2016,8.24,1.73,"69,252","43,034",3.6,0.7005,481.35,0.0,0.0,820.0,1508.0,Hot,Superterran,Kepler,Transit,Kepler-1468,,5893.0,1.05,1.04,0.531,4.42,3.55,0.39233,10.20011,74.3057,1899.24,1,2,0
Kepler-1468 c,Kepler-1468,c,2016,3.55,1.15,"46,035","28,606",1.6,1.049,1479.57,0.0,0.0,1175.0,2147.0,Hot,Terran,Kepler,Transit,Kepler-1468,,5893.0,1.05,1.04,0.531,4.42,3.55,0.39233,10.20011,74.3057,1899.24,1,2,0
Kepler-1469 b,Kepler-1469,b,2016,21.86,2.8,"112,084","69,650",8.2,0.3757,24.9,0.0,0.0,278.0,532.0,Hot,Neptunian,Kepler,Transit,Kepler-1469,,5507.0,0.89,0.92,-0.27399999999999997,4.51,4.47,3.22658,9.124661999999999,72.7168,1159.3,1,1,0
Kepler-147 b,Kepler-147,b,2014,12.61,1.53,"61,246","38,059",3.0,0.824,224.61,0.0,0.0,680.0,1256.0,Hot,Superterran,Kepler,Transit,Kepler-147,,6012.0,1.47,1.14,0.42700000000000005,4.18,4.47,0.5768399999999999,13.055530000000001,70.40791,1042.02,1,2,0
Kepler-147 c,Kepler-147,c,2014,33.42,2.43,"97,273","60,447",6.5,0.4501,61.29,0.0,0.0,416.0,781.0,Hot,Superterran,Kepler,Transit,Kepler-147,,6012.0,1.47,1.14,0.42700000000000005,4.18,4.47,0.5768399999999999,13.055530000000001,70.40791,1042.02,1,2,0
Kepler-1470 b,Kepler-1470,b,2016,16.3,1.07,"42,832","26,616",1.2,1.0091,23.92,0.0,0.0,301.0,574.0,Hot,Terran,Kepler,Transit,Kepler-1470,,4961.0,0.76,0.8,-0.486,4.59,4.57,1.9121,12.88245,71.3878,590.601,1,1,0
Kepler-1471 b,Kepler-1471,b,2016,3.64,1.41,"56,443","35,074",2.6,0.9147,314.23,0.0,0.0,965.0,1769.0,Hot,Terran,Kepler,Transit,Kepler-1471,,5660.0,0.93,0.95,-0.19899999999999998,4.48,4.57,2.3335,16.35841,81.25658,978.678,1,1,0
Kepler-1472 b,Kepler-1472,b,2016,38.13,1.9,"76,057","47,263",4.3,0.6207,57.08,0.0,0.0,340.0,644.0,Hot,Superterran,Kepler,Transit,Kepler-1472,,6159.0,1.25,1.16,0.42,4.31,3.09,0.30862,12.89982,81.81524,1479.14,1,1,0
Kepler-1473 b,Kepler-1473,b,2016,14.43,1.19,"47,636","29,601",1.8,1.0708,111.01,0.0,0.0,510.0,950.0,Hot,Terran,Kepler,Transit,Kepler-1473,,6046.0,1.09,1.09,0.19399999999999998,4.4,2.63,0.88538,15.372779999999999,80.54016999999999,652.253,1,1,0
Kepler-1474 b,Kepler-1474,b,2016,36.43,2.16,"86,465","53,730",5.3,0.5263,21.39,0.0,0.0,288.0,550.0,Hot,Superterran,Kepler,Transit,Kepler-1474,,5870.0,1.04,1.04,0.028999999999999998,4.42,3.8,3.4991800000000004,11.547080000000001,78.8564,1180.9,1,1,0
Kepler-1475 b,Kepler-1475,b,2016,82.18,2.92,"116,888","72,635",8.8,0.3539,13.76,0.0,0.0,168.0,334.0,Hot,Neptunian,Kepler,Transit,Kepler-1475,,6214.0,1.28,1.18,0.254,4.29,2.82,0.8825,10.24796,78.27089000000001,1568.38,1,1,0
Kepler-1476 b,Kepler-1476,b,2016,10.36,1.67,"66,850","41,541",3.4,0.735,75.64,0.0,0.0,587.0,1089.0,Hot,Superterran,Kepler,Transit,Kepler-1476,,5663.0,0.96,0.98,-0.243,4.47,4.57,5.3419099999999995,17.33785,74.04738,1002.74,1,1,0
Kepler-1477 b,Kepler-1477,b,2016,11.56,1.18,"47,236","29,353",1.8,1.069,78.16,0.0,0.0,401.0,754.0,Hot,Terran,Kepler,Transit,Kepler-1477,,5100.0,0.78,0.81,-0.196,4.58,4.68,4.18999,19.08482,71.89531,680.828,1,1,0
Kepler-1478 b,Kepler-1478,b,2016,26.08,1.73,"69,252","43,034",3.6,0.7005,85.28,0.0,0.0,325.0,617.0,Hot,Superterran,Kepler,Transit,Kepler-1478,,5904.0,1.06,1.04,0.304,4.41,3.98,0.7326199999999999,10.65045,74.6066,1845.58,1,1,0
Kepler-1479 b,Kepler-1479,b,2016,14.53,1.83,"73,255","45,521",4.0,0.6534,98.57,0.0,0.0,473.0,883.0,Hot,Superterran,Kepler,Transit,Kepler-1479,,5796.0,0.98,0.99,0.145,4.45,4.27,8.912339999999999,18.611929999999997,79.96758,728.668,1,1,0
Kepler-148 b,Kepler-148,b,2014,1.73,1.8,"72,054","44,775",3.9,0.6661,609.02,0.0,0.0,1011.0,1852.0,Hot,Superterran,Kepler,Transit,Kepler-148,,5272.0,0.85,0.86,-0.38299999999999995,4.55,11.2,2.8431900000000003,15.02999,78.27566,791.163,1,3,0
Kepler-148 c,Kepler-148,c,2014,4.18,3.6,"144,109","89,550",12.6,0.2686,187.2,0.0,0.0,684.0,1263.0,Hot,Neptunian,Kepler,Transit,Kepler-148,,5272.0,0.85,0.86,-0.38299999999999995,4.55,11.2,2.8431900000000003,15.02999,78.27566,791.163,1,3,0
Kepler-148 d,Kepler-148,d,2016,51.85,8.68,"347,462","215,916",56.3,0.0858,6.53,0.0,0.0,140.0,284.0,,Jovian,Kepler,Transit,Kepler-148,,5272.0,0.85,0.86,-0.38299999999999995,4.55,11.2,2.8431900000000003,15.02999,78.27566,791.163,1,3,0
Kepler-1480 b,Kepler-1480,b,2016,22.13,1.67,"66,850","41,541",3.4,0.735,16.32,0.0,0.0,448.0,838.0,Hot,Superterran,Kepler,Transit,Kepler-1480,,5156.0,0.81,0.85,-0.449,4.56,4.79,3.56233,14.6858,81.20839000000001,500.892,2,1,0
Kepler-1481 b,Kepler-1481,b,2016,5.94,1.23,"49,237","30,596",2.0,1.0926,71.94,0.0,0.0,524.0,975.0,Hot,Terran,Kepler,Transit,Kepler-1481,,4908.0,0.75,0.8,-0.5870000000000001,4.6,3.89,4.459,16.3802,80.92025,459.07599999999996,1,1,0
Kepler-1482 b,Kepler-1482,b,2016,12.25,1.01,"40,430","25,124",1.0,0.9782,86.5,0.0,0.0,405.0,761.0,Hot,Terran,Kepler,Transit,Kepler-1482,,5381.0,0.84,0.88,-0.083,4.54,4.47,5.83094,18.51516,78.90146999999999,567.556,1,1,0
Kepler-1483 b,Kepler-1483,b,2016,9.51,1.52,"60,846","37,810",2.9,0.8294,265.02,0.0,0.0,858.0,1576.0,Hot,Superterran,Kepler,Transit,Kepler-1483,,6337.0,1.4,1.25,0.39399999999999996,4.24,2.4,0.56111,9.359428,75.75723,1273.78,1,1,0
Kepler-1484 b,Kepler-1484,b,2016,30.45,2.11,"84,464","52,487",5.1,0.5408,35.92,0.0,0.0,351.0,664.0,Hot,Superterran,Kepler,Transit,Kepler-1484,,5730.0,0.92,0.94,0.7959999999999999,4.49,3.98,0.96096,9.326413,71.16513,2879.83,1,1,0
Kepler-1485 b,Kepler-1485,b,2016,19.92,1.47,"58,844","36,566",2.8,0.8657,85.18,0.0,0.0,455.0,851.0,Hot,Terran,Kepler,Transit,Kepler-1485,,6087.0,1.12,1.11,0.28,4.39,2.51,0.73854,8.905671,79.00501,615.66,1,1,0
Kepler-1486 b,Kepler-1486,b,2016,54.65,2.32,"92,870","57,710",6.0,0.4791,22.37,0.0,0.0,265.0,509.0,Hot,Superterran,Kepler,Transit,Kepler-1486,,5965.0,1.12,1.08,0.312,4.38,3.55,0.66846,13.939070000000001,77.17572,1769.14,1,1,0
Kepler-1487 b,Kepler-1487,b,2016,7.32,2.13,"85,264","52,984",5.2,0.5354,323.29,0.0,0.0,1409.0,2568.0,Hot,Superterran,Kepler,Transit,Kepler-1487,,6541.0,1.63,1.38,0.557,4.16,1.95,0.33157,7.623581,72.67608,1014.62,1,1,0
Kepler-1488 b,Kepler-1488,b,2016,39.82,1.86,"74,456","46,268",4.1,0.6388,73.33,0.0,0.0,377.0,711.0,Hot,Superterran,Kepler,Transit,Kepler-1488,,5820.0,1.31,1.05,0.5870000000000001,4.22,6.92,0.18795,18.12872,80.41879,905.825,1,1,0
Kepler-1489 b,Kepler-1489,b,2016,82.29,1.77,"70,853","44,029",3.8,0.6806,11.89,0.0,0.0,127.0,261.0,Hot,Superterran,Kepler,Transit,Kepler-1489,,5655.0,0.9,0.93,0.198,4.51,4.07,1.9744599999999999,19.678320000000003,73.67389,1283.05,1,1,0
Kepler-149 b,Kepler-149,b,2014,29.2,4.21,"168,527","104,724",16.5,0.2214,23.64,0.0,0.0,267.0,513.0,Hot,Neptunian,Kepler,Transit,Kepler-149,,5381.0,0.95,0.92,-0.11900000000000001,4.46,14.0,2.05855,14.281920000000001,69.05423,571.034,1,3,0
Kepler-149 c,Kepler-149,c,2014,55.33,1.61,"64,449","40,049",3.2,0.7695,10.08,0.0,0.0,163.0,325.0,Hot,Superterran,Kepler,Transit,Kepler-149,,5381.0,0.95,0.92,-0.11900000000000001,4.46,14.0,2.05855,14.281920000000001,69.05423,571.034,1,3,0
Kepler-149 d,Kepler-149,d,2014,160.02,3.96,"158,519","98,506",14.9,0.2396,2.45,0.0,0.0,33.0,91.0,Hot,Neptunian,Kepler,Transit,Kepler-149,,5381.0,0.95,0.92,-0.11900000000000001,4.46,14.0,2.05855,14.281920000000001,69.05423,571.034,1,3,0
Kepler-1490 b,Kepler-1490,b,2016,92.44,3.04,"121,692","75,620",9.5,0.3358,3.79,0.0,0.0,75.0,167.0,Hot,Neptunian,Kepler,Transit,Kepler-1490,,5515.0,0.87,0.9,-0.319,4.52,4.57,0.23138000000000003,9.392797,76.26725,862.92,1,1,0
Kepler-1491 b,Kepler-1491,b,2016,16.59,1.51,"60,446","37,561",2.9,0.8367,138.11,0.0,0.0,548.0,1018.0,Hot,Superterran,Kepler,Transit,Kepler-1491,,5728.0,0.99,1.0,0.355,4.45,4.57,0.40099,12.15157,78.39835,2065.59,1,1,0
Kepler-1492 b,Kepler-1492,b,2016,16.75,1.49,"59,645","37,064",2.8,0.853,11.52,0.0,0.0,528.0,982.0,Hot,Terran,Kepler,Transit,Kepler-1492,,4712.0,0.72,0.77,-0.754,4.62,2.82,1.7121099999999998,13.43004,72.43292,331.55300000000005,1,1,0
