star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
Kepler-1679,,5501.0,0.87,0.96,-0.201,4.54,,2.03283,14.057479999999998,82.79835,909.28,1,1,0
Kepler-168,,6282.0,1.11,1.11,0.361,4.42,2.29,0.86387,8.723422,73.42975,1343.6,1,2,0
Kepler-1680,,5021.0,0.72,0.83,-0.524,4.64,,3.10778,7.187513,74.41128,310.315,1,1,0
Kepler-1681,,5756.4,,,,,,,10.55531,79.97221,758.3,1,1,0
Kepler-1682,,5619.12,0.84,0.99,-0.196,4.58,,2.3356,9.098504,72.93856,1159.85,1,1,0
Kepler-1683,,5429.0,0.9,0.95,-0.198,4.51,,1.83523,8.461115,78.73431,733.143,1,1,0
Kepler-1684,,4706.54,0.67,0.75,-0.7070000000000001,4.67,,3.5672099999999998,12.17406,79.03919,621.996,1,1,0
Kepler-1685,,5484.0,0.84,0.96,-0.245,4.58,,2.3209999999999997,9.708884,77.6246,1141.89,1,1,0
Kepler-1686,,5714.96,1.2,1.02,0.141,4.29,,0.8332200000000001,11.81781,74.34303,729.823,1,1,0
Kepler-1687,,4132.0,0.73,0.65,-0.8590000000000001,4.53,,2.39362,16.6105,82.0138,417.014,1,1,0
Kepler-1688,,4632.11,,,,,,,12.8854,72.98546,,1,1,0
Kepler-1689,,5731.43,1.0,1.02,-0.016,4.45,,1.45879,10.342,71.24427,294.122,1,1,0
Kepler-169,,4997.0,0.76,0.84,-0.496,4.58,13.8,2.62345,15.178420000000001,71.50904,406.529,1,5,0
Kepler-1690,,5404.0,0.86,0.94,-0.243,4.54,,2.06657,14.0762,73.08368,703.789,1,1,0
Kepler-1691,,6000.0,1.13,1.11,0.175,4.38,,1.0802100000000001,15.04164,71.68464,1267.67,1,1,0
Kepler-1692,,5146.0,0.87,0.87,-0.324,4.5,,1.88766,16.90559,77.67316,591.019,1,1,0
Kepler-1693,,5432.34,0.88,0.95,-0.218,4.53,,1.97682,15.308779999999999,79.65091,760.065,1,1,0
Kepler-1694,,4954.0,0.76,0.82,-0.508,4.59,,2.67254,9.538273,73.46916,513.3290000000001,1,1,0
Kepler-1695,,5473.19,0.99,0.96,-0.10400000000000001,4.43,,1.40696,12.45831,79.01116,791.175,1,1,0
Kepler-1696,,5712.0,1.2,1.02,0.139,4.29,,0.83614,9.190259,75.70299,1506.36,1,1,0
Kepler-1697,,4681.53,0.77,0.75,-0.588,4.54,,2.28588,15.04775,74.44142,247.771,1,1,0
Kepler-1698,,4975.03,0.74,0.82,-0.518,4.61,,2.84025,9.389206,72.42378000000001,222.345,1,1,0
Kepler-1699,,5575.53,,,,,,,14.44261,80.88672,818.7589999999999,1,1,0
Kepler-17,,5781.0,1.01,1.04,0.012,4.45,1.8,1.42165,10.241660000000001,81.82496,720.753,1,1,0
Kepler-170,,5679.0,1.03,1.09,-0.055,4.45,1.8,0.91343,16.4767,71.75041999999999,738.6569999999999,1,2,0
Kepler-1700,,6031.0,1.09,1.12,0.154,4.41,,1.20694,16.24853,76.03721,717.597,1,1,0
Kepler-1701,,5146.0,0.84,0.87,-0.35100000000000003,4.53,,2.0678099999999997,15.137279999999999,72.61903000000001,584.1419999999999,1,1,0
Kepler-1702,,5093.0,0.73,0.85,-0.496,4.65,,3.135,17.253989999999998,74.73098,857.14,1,1,0
Kepler-171,,5642.0,0.84,0.91,-0.079,4.57,3.47,1.82708,8.281186,75.89959,863.855,1,3,0
Kepler-172,,5526.0,1.08,1.0,-0.032,4.38,6.46,1.5866200000000001,17.3475,71.60686,828.592,1,4,0
Kepler-173,,6031.0,0.95,0.79,0.07400000000000001,4.4,3.3,2.66952,9.734012,75.24794,833.165,1,2,0
Kepler-174,,4880.0,0.62,0.6,-0.57,4.68,4.9,4.9616,15.33893,74.71866,384.75699999999995,1,3,0
Kepler-175,,6064.0,1.01,1.12,0.19399999999999998,4.47,3.39,1.02936,13.961129999999999,75.39453,1312.34,1,2,0
Kepler-176,,5232.0,0.89,0.79,-0.40399999999999997,4.47,13.7,3.56337,10.63642,77.02624,527.321,1,4,0
Kepler-177,,5732.0,1.32,0.92,0.24,4.1,1.8,0.7906,16.72433,75.49689000000001,1435.44,1,2,0
Kepler-178,,5676.0,1.07,0.94,-0.20800000000000002,4.33,11.3,2.32199,16.73487,77.56796,716.025,1,3,0
Kepler-179,,5302.0,0.76,0.84,-0.278,4.61,0.6,3.1638599999999997,10.05856,81.86827,605.68,1,2,0
Kepler-18,,5345.0,1.11,0.97,-0.031,4.31,10.0,1.01,8.920106,79.00748,433.04699999999997,1,3,0
Kepler-180,,5731.0,1.06,0.95,-0.132,4.34,9.7,2.24939,12.80745,82.68817,695.65,1,2,0
Kepler-181,,5333.0,0.75,0.85,-0.379,4.62,0.5,3.5407699999999998,12.62267,83.15621999999999,609.283,1,2,0
Kepler-182,,6250.0,1.15,1.16,0.344,4.4,3.09,0.19037,16.48157,81.84313,1549.09,1,2,0
Kepler-183,,5888.0,0.96,0.94,0.026000000000000002,4.5,4.27,4.45432,9.288547,72.54339,1050.64,1,2,0
Kepler-184,,5788.0,0.87,0.97,-0.225,4.51,1.7,2.7003,12.04504,75.41111,610.326,1,3,0
Kepler-185,,5208.0,0.81,0.81,-0.504,4.54,11.9,2.85831,18.693360000000002,73.39801999999999,466.735,1,2,0
Kepler-186,M1,3788.0,0.47,0.48,-1.385,4.77,4.0,6.4,8.170597,78.51992,177.59400000000002,1,5,0
Kepler-187,,6105.0,1.29,1.11,0.493,4.27,3.72,0.4131,7.529731,79.05761,1143.0,1,2,0
Kepler-188,,6021.0,1.14,0.98,0.034,4.35,5.8,2.68246,19.64005,73.51955,968.544,1,2,0
Kepler-189,,5235.0,0.75,0.79,-0.44799999999999995,4.62,0.7,2.31395,15.44123,75.20661,591.534,1,2,0
Kepler-19,,5544.0,0.86,0.94,-0.201,4.51,1.9,2.2084599999999996,10.797,70.10242,218.562,1,3,0
Kepler-190,,5106.0,0.8,0.86,-0.441,4.56,3.72,2.77228,14.94341,75.91264,433.38699999999994,1,2,0
Kepler-191,,5282.0,0.79,0.81,-0.414,4.59,0.9,3.25127,13.512220000000001,77.24728,594.464,1,3,0
Kepler-192,,5479.0,1.01,0.94,-0.094,4.43,0.5,1.49679,15.714120000000001,76.53878,651.674,1,3,0
Kepler-193,,6335.0,1.15,1.14,0.1,4.4,0.3,2.112,10.77346,80.09006,1009.1,1,2,0
Kepler-194,,6089.0,1.02,1.09,0.043,4.42,2.5,1.19508,14.09796,79.85373,1097.97,1,3,0
Kepler-195,,5329.0,0.78,0.84,-0.36700000000000005,4.6,0.7,2.41247,16.50147,78.87422,652.0509999999999,1,2,0
Kepler-196,,5128.0,0.78,0.85,-0.39299999999999996,4.57,3.98,6.58628,16.33607,72.31504,451.31199999999995,1,2,0
Kepler-197,,6004.0,1.12,0.86,0.222,4.3,5.37,0.9219,13.359210000000001,83.30391,330.575,2,4,0
Kepler-198,,5574.0,0.94,0.97,-0.109,4.47,3.72,1.84772,10.98804,70.95868,495.358,1,3,0
Kepler-199,,5644.0,0.97,0.96,-0.09699999999999999,4.44,1.45,1.70087,8.347375,74.10845,521.054,1,2,0
Kepler-20,,5495.0,0.96,0.95,-0.11699999999999999,4.45,7.6,2.20611,14.573479999999998,73.37704000000001,282.563,2,6,0
Kepler-200,,5678.0,0.94,0.98,0.008,4.45,6.3,0.13059,16.40755,71.33867,665.9119999999999,1,2,0
Kepler-201,,6065.0,1.23,1.18,0.348,4.29,2.19,0.81794,10.12712,74.33877,636.445,1,2,0
Kepler-202,,4668.0,0.67,0.68,-0.638,4.65,3.24,4.24656,17.442729999999997,71.00665,285.111,1,2,0
Kepler-203,,5821.0,1.11,1.0,0.094,4.36,0.5,1.56956,7.8937729999999995,75.6936,703.302,1,3,0
Kepler-204,,5812.0,1.24,1.03,0.03,4.27,3.3,0.7005100000000001,15.9553,72.12015,686.7230000000001,1,2,0
Kepler-205,M1 V,4321.0,0.55,0.59,-0.956,4.74,3.16,1.97675,16.03442,72.19793,159.72,1,2,0
Kepler-206,,5764.0,1.19,1.05,0.084,4.31,7.0,0.8614200000000001,11.71045,74.16688,594.447,1,3,0
Kepler-207,,5920.0,1.59,1.04,0.446,4.13,4.17,0.29599000000000003,12.92919,73.94723,875.5189999999999,1,3,0
Kepler-208,,6092.0,1.31,1.16,0.309,4.26,4.37,1.00597,10.528839999999999,75.56389,775.328,1,4,0
Kepler-209,,5513.0,0.94,0.93,-0.129,4.47,4.47,5.40911,12.37221,74.75586,576.946,1,2,0
Kepler-21,F6 IV,6305.0,1.9,1.41,0.715,4.03,3.03,0.287,13.33678,69.85627,108.522,2,1,0
Kepler-210,M0 V,4559.0,0.65,0.77,-0.799,4.66,1.78,4.67612,11.687330000000001,75.60055,232.75,1,2,0
Kepler-211,,5123.0,0.82,0.9,-0.413,4.55,1.55,2.9658700000000002,16.42405,73.50287,309.353,1,2,0
Kepler-212,,5852.0,1.46,1.17,0.38299999999999995,4.18,2.5,0.44891000000000003,14.945520000000002,74.11523000000001,687.194,1,2,0
Kepler-213,,5696.0,1.2,1.07,0.132,4.31,1.62,3.6266300000000005,13.456220000000002,76.50690999999999,634.939,1,2,0
Kepler-214,,6169.0,1.35,1.11,0.511,4.25,1.58,0.40253,17.5388,75.05178000000001,1208.44,1,2,0
Kepler-215,,5739.0,1.03,0.94,-0.11699999999999999,4.36,1.62,0.5817100000000001,11.07278,78.35685,485.99699999999996,1,4,0
Kepler-216,,6091.0,1.26,1.11,0.518,4.28,0.28,0.43582,12.26417,78.78515,1187.47,1,2,0
Kepler-217,,6171.0,1.8,1.14,0.754,4.03,2.63,0.3447,12.75822,78.70435,1104.64,1,3,0
Kepler-218,,5502.0,1.06,1.02,0.009000000000000001,4.39,6.3,1.10283,11.288689999999999,79.45273,656.38,1,3,0
Kepler-219,,5786.0,1.49,1.17,0.214,4.16,4.0,1.06034,15.64894,77.88786,787.07,1,3,0
Kepler-22,G5 V,5518.0,0.98,0.97,-0.102,4.44,7.08,1.4580000000000002,15.792279999999998,79.09186,194.642,1,1,0
Kepler-220,,4632.0,0.67,0.65,-0.6759999999999999,4.65,6.0,2.15978,13.9744,78.81181,171.109,1,4,0
Kepler-221,,5243.0,0.82,0.82,-0.40399999999999997,4.54,4.57,2.81128,10.80166,80.37295,385.231,1,4,0
Kepler-222,,5433.0,0.87,0.88,-0.33799999999999997,4.55,0.7,4.36488,16.24185,77.82551,758.8539999999999,1,3,0
Kepler-223,,5803.0,1.72,1.12,0.371,4.46,7.2,0.4236,10.02399,81.32518,1859.71,1,4,0
Kepler-224,,5018.0,0.68,0.82,-0.514,4.64,2.29,2.69909,14.520920000000002,79.07688,782.0880000000001,1,4,0
Kepler-225,M1 V,3682.0,0.48,0.59,-0.996,4.78,2.88,2.7212,13.78926,79.53974000000001,561.101,1,2,0
Kepler-226,,5571.0,0.8,0.91,-0.239,4.59,0.5,2.1362900000000002,13.85945,79.9884,980.138,1,3,0
Kepler-227,,5854.0,1.09,0.92,-0.121,4.4,7.7,3.20796,14.23776,80.10229,1083.06,1,2,0
Kepler-228,,6043.0,1.01,0.95,0.111,4.47,0.3,1.55056,11.67615,81.50265999999999,1644.61,1,3,0
Kepler-229,,5120.0,0.73,0.8,-0.5379999999999999,4.63,1.1,3.1646400000000003,17.34816,78.97780999999999,826.265,1,3,0
Kepler-23,,5760.0,1.52,1.11,0.36200000000000004,4.0,6.0,0.45155,13.457989999999999,82.01369,835.7560000000001,1,3,0
Kepler-230,,5588.0,0.82,0.84,-0.368,4.55,1.8,2.79093,18.18768,78.78369,740.7539999999999,1,2,0
Kepler-231,,3767.0,0.49,0.58,-1.036,4.78,3.47,33.27197,14.061420000000002,82.91646,316.618,1,2,0
Kepler-232,,5847.0,0.97,0.97,0.052000000000000005,4.5,1.4,1.33259,13.280870000000002,83.99266,1349.13,1,2,0
Kepler-233,,5360.0,0.76,0.85,-0.32799999999999996,4.61,0.6,3.8632800000000005,13.06446,84.33496,856.4169999999999,1,2,0
Kepler-234,,6224.0,1.11,1.11,0.24,4.42,3.47,0.9161799999999999,10.2143,71.12595999999999,1733.1,1,2,0
Kepler-235,M0 V,4255.0,0.55,0.58,-1.102,4.73,6.0,4.14,14.47666,69.97325,428.01800000000003,1,4,0
Kepler-236,,3750.0,0.51,0.6,-1.229,4.75,3.16,3.70571,16.28889,69.8833,288.763,1,2,0
Kepler-237,,4861.0,0.72,0.7,-0.47700000000000004,4.58,13.8,2.4235900000000004,16.94087,70.20012,657.822,1,2,0
Kepler-238,,5751.0,1.43,1.06,0.43,4.19,6.76,0.45192,13.748920000000002,71.83506,1798.75,1,5,0
Kepler-239,,4914.0,0.76,0.76,-0.475,4.58,3.31,4.37951,9.459442999999998,73.99493000000001,648.109,1,2,0
Kepler-24,,5800.0,1.07,1.03,0.258,4.34,7.7,0.02385,11.018310000000001,70.5499,1156.81,1,4,0
Kepler-240,,4985.0,0.74,0.75,-0.524,4.63,0.9,2.49621,11.556230000000001,73.01256,746.927,1,2,0
Kepler-241,,4699.0,0.67,0.67,-0.7070000000000001,4.63,13.9,2.98907,10.50789,73.8981,,1,2,0
Kepler-242,,5020.0,0.85,0.81,-0.613,4.49,14.0,0.65082,15.13516,72.52885,600.241,1,2,0
Kepler-243,,5228.0,0.84,0.83,-0.373,4.57,3.5,3.25264,16.22138,72.3127,693.86,1,2,0
Kepler-244,,5554.0,0.8,0.96,-0.256,4.58,0.5,1.86883,14.867420000000001,73.20295,1036.49,1,3,0
Kepler-245,,5100.0,0.8,0.86,-0.396,4.56,3.63,3.28779,11.971789999999999,74.72151,861.5269999999999,1,4,0
Kepler-246,,5206.0,0.83,0.79,-0.413,4.56,12.6,2.1623200000000002,8.908752,76.59739,626.078,1,2,0
Kepler-247,,5100.0,0.77,0.84,-0.42200000000000004,4.61,0.8,3.12818,14.22115,74.32815,663.711,1,3,0
Kepler-248,,5190.0,0.83,0.9,-0.418,4.57,2.34,1.6353,11.546330000000001,76.24058000000001,738.7919999999999,1,2,0
Kepler-249,M2 V,3568.0,0.48,0.51,-1.495,4.78,3.09,5.3449800000000005,9.070818,77.65822,190.40099999999998,1,3,0
Kepler-25,,6103.0,1.32,1.17,0.38299999999999995,4.28,4.65,0.75,14.16402,70.34969,243.24900000000002,2,3,0
Kepler-250,,5160.0,0.81,0.83,-0.457,4.57,13.2,2.20456,14.043579999999999,75.65673000000001,760.585,1,3,0
Kepler-251,,5526.0,0.89,0.95,-0.172,4.49,3.63,2.12141,9.551344,77.90716,924.625,1,4,0
Kepler-252,,4208.0,0.55,0.61,-0.7859999999999999,4.72,13.9,7.391539999999999,10.38167,77.95938000000001,379.42400000000004,1,2,0
Kepler-253,,5208.0,0.79,0.85,-0.387,4.59,0.7,4.4875300000000005,12.89293,77.02003,838.595,1,3,0
Kepler-254,,5957.0,0.91,0.93,-0.125,4.52,0.3,2.19595,15.642779999999998,76.82248,1389.48,1,3,0
Kepler-255,,5573.0,0.93,0.87,-0.183,4.52,2.4,2.24666,10.75413,79.40703,1052.53,1,3,0
Kepler-256,,5551.0,1.3,0.97,-0.059000000000000004,4.22,9.55,1.23,12.96406,78.39609,1026.43,1,4,0
Kepler-257,,5180.0,1.04,0.85,-0.37799999999999995,4.36,14.0,3.03443,10.01238,79.8707,780.2560000000001,1,3,0
Kepler-258,,4942.0,0.92,0.82,-0.575,4.44,13.7,3.0299,12.255930000000001,79.30468,575.988,1,2,0
Kepler-259,,5938.0,0.9,0.93,-0.153,4.53,0.4,1.98095,15.92401,77.59985999999999,1002.14,1,2,0
Kepler-26,M0 V,3914.0,0.51,0.54,-1.06,4.68,2.95,5.98262,17.99288,76.68003,335.30699999999996,1,4,0
Kepler-260,,5250.0,0.86,0.92,-0.092,4.49,4.47,2.08567,9.806834,70.78817,627.365,1,2,0
Kepler-261,,5098.0,0.79,0.88,-0.47100000000000003,4.56,3.98,4.50712,10.02036,70.21845,317.499,1,2,0
Kepler-262,,5841.0,0.88,0.99,-0.14,4.54,3.55,1.49784,10.313369999999999,69.66535999999999,613.129,1,2,0
Kepler-263,,5265.0,0.79,0.8,-0.456,4.58,7.9,1.9096099999999998,9.221058,70.5835,754.747,1,2,0
Kepler-264,,6158.0,1.55,1.46,0.6890000000000001,4.15,2.57,0.15947,9.433883999999999,70.25471999999999,942.173,1,2,0
Kepler-265,,5835.0,1.1,0.98,0.005,4.33,0.28,0.94278,12.211780000000001,73.25053,1280.25,1,4,0
Kepler-266,,5885.0,1.03,0.95,0.012,4.45,4.79,1.11507,10.89836,77.24743000000001,1370.79,1,2,0
Kepler-267,M1 V,4258.0,0.56,0.54,-1.229,4.73,3.31,4.6927900000000005,9.073160000000001,81.73758000000001,264.993,1,3,0
Kepler-268,,6081.0,1.27,1.13,0.318,4.29,1.71,2.2793400000000004,9.790084,70.84339,851.87,1,2,0
Kepler-269,,5847.0,0.96,0.92,0.368,4.5,4.57,0.9878399999999999,12.63921,73.64492,2257.32,1,2,0
Kepler-27,,5400.0,0.59,0.65,-0.32899999999999996,5.4,1.62,3.22487,10.97439,73.68706999999999,1044.36,1,2,0
Kepler-270,,6067.0,1.46,1.17,0.312,4.2,2.73,0.7145699999999999,19.05506,73.85815,948.7810000000001,1,2,0
Kepler-271,,5555.0,0.87,0.9,-0.253,4.52,4.57,2.1962599999999997,18.468329999999998,73.92809,404.542,1,3,0
Kepler-272,,5297.0,0.93,0.86,0.066,4.43,4.9,1.08986,9.703985000000001,81.87732,889.6080000000001,1,3,0
Kepler-273,,5626.0,0.81,0.94,-0.341,4.51,5.1,4.62323,14.43624,79.50304,713.9639999999999,1,2,0
Kepler-274,,6023.0,1.01,1.08,0.201,4.44,3.63,0.62776,9.321308,71.56818,1333.62,1,2,0
Kepler-275,,6165.0,1.38,1.16,0.449,4.23,0.31,0.58429,9.646836,71.44116,2034.25,1,3,0
Kepler-276,,6105.0,1.05,1.04,-0.08900000000000001,4.45,0.4,2.57496,9.13325,72.30605,1144.86,1,3,0
Kepler-277,,5946.0,1.69,1.12,0.568,4.03,5.0,0.24777,14.0381,69.94423,976.643,1,2,0
Kepler-278,,4991.0,2.94,1.08,0.6829999999999999,3.62,7.76,0.16712,11.39022,70.77216999999999,443.03,1,2,0
Kepler-279,,6363.0,1.75,1.16,0.519,4.05,0.22,0.06379,14.72415,73.14701,1037.4,1,3,0
Kepler-28,M0 V,4590.0,0.7,0.75,-0.745,4.29,2.24,4.13623,11.63866,74.88046999999999,438.35900000000004,1,2,0
Kepler-280,,5744.0,0.89,0.96,-0.064,4.54,4.27,1.7480000000000002,12.02533,74.40425,780.3610000000001,1,2,0
Kepler-281,,5723.0,0.9,0.95,0.146,4.53,0.6,0.42172,11.41338,77.66934,1745.45,1,2,0
Kepler-282,,5602.0,0.9,0.79,0.106,4.46,0.4,0.6798,17.53303,74.87609,1337.61,1,4,0
Kepler-283,,4351.0,0.57,0.6,-0.983,4.72,3.09,12.573039999999999,13.093169999999999,80.3201,468.094,1,2,0
Kepler-284,,5615.0,0.81,0.92,-0.341,4.58,0.5,3.57325,13.32741,80.07778,1031.95,1,2,0
Kepler-285,,5411.0,0.81,0.82,-0.27899999999999997,4.58,0.6,2.4478299999999997,14.53535,79.87402,824.31,1,2,0
Kepler-286,,5580.0,0.86,0.96,-0.11599999999999999,4.5,2.75,1.86513,15.06379,79.88641,1226.85,1,4,0
Kepler-287,,5806.0,1.03,0.97,-0.134,4.4,7.6,13.823089999999999,14.972470000000001,80.09815,835.86,1,2,0
Kepler-288,,5918.0,1.09,1.03,0.055999999999999994,4.35,3.72,1.32778,12.60683,71.19269,1194.15,1,3,0
Kepler-289,,5990.0,1.0,1.08,0.061,4.47,0.65,1.58,8.386509,77.14668,704.438,1,3,0
Kepler-29,,5378.0,0.73,0.76,-0.297,4.6,0.3,3.18827,10.110289999999999,81.52259000000001,832.5319999999999,1,2,0
Kepler-290,,5147.0,0.74,0.8,-0.586,4.62,1.1,9.48752,15.58124,73.31633000000001,694.627,1,2,0
Kepler-291,,6002.0,1.02,0.9,0.071,4.47,0.3,2.5438400000000003,14.465370000000002,73.53718,1786.48,1,2,0
Kepler-292,,5299.0,0.83,0.85,-0.337,4.54,5.13,2.14949,9.257527,76.12805,1056.48,1,5,0
Kepler-293,,5804.0,0.96,0.94,-0.233,4.5,0.5,1.8124200000000001,15.51005,73.03773000000001,974.633,1,2,0
Kepler-294,,5913.0,0.98,0.95,-0.14800000000000002,4.49,0.6,2.1743099999999997,16.2322,76.83915999999999,1357.01,1,2,0
Kepler-295,,5603.0,0.9,0.89,-0.14400000000000002,4.44,8.8,0.01018,17.299529999999997,75.61222,1699.19,1,3,0
Kepler-296,M2 V,3740.0,0.48,0.5,-1.5090000000000001,4.77,13.9,6.4,18.01448,79.90120999999999,,2,5,0
Kepler-297,,5619.0,0.92,0.98,-0.096,4.47,1.9,1.60443,19.83986,78.46058000000001,692.14,1,2,0
Kepler-298,,4465.0,0.58,0.66,-0.733,4.71,2.4,6.83183,19.96084,78.47036,518.2040000000001,1,3,0
Kepler-299,,5617.0,1.03,0.95,-0.044000000000000004,4.39,0.4,1.15252,19.77729,78.26189000000001,1052.24,1,4,0
Kepler-30,,5498.0,0.95,0.99,-0.237,4.77,2.0,2.0,14.9133,69.40713000000001,914.221,1,3,0
Kepler-300,,5986.0,0.9,1.07,0.34,4.53,3.63,1.21929,12.436580000000001,81.53022,1098.45,1,2,0
Kepler-301,,5815.0,0.9,0.98,-0.08,4.53,4.17,1.7600799999999999,19.50899,79.09379,719.166,1,3,0
Kepler-302,,5740.0,1.22,1.02,0.049,4.29,0.5,1.35151,10.75803,76.70494000000001,1402.58,1,2,0
Kepler-303,M0 V,3944.0,0.48,0.57,-1.0659999999999998,4.77,3.31,5.28345,18.16065,73.34371,209.738,1,2,0
Kepler-304,,4731.0,0.69,0.8,-0.662,4.63,2.09,4.07394,9.249102,73.98631,434.684,1,4,0
Kepler-305,,5117.0,0.8,0.76,-0.423,4.51,4.37,0.68028,5.973349,75.59979,868.477,1,4,0
Kepler-306,,4954.0,0.72,0.81,-0.469,4.61,2.63,3.07953,13.296220000000002,72.02089000000001,775.679,1,4,0
Kepler-307,,5367.0,0.81,0.91,-0.122,4.46,13.5,1.73492,6.950032000000001,75.10993,575.581,1,2,0
Kepler-308,,5895.0,0.94,0.92,-0.11599999999999999,4.51,0.5,3.68154,8.29412,74.37217,1335.92,1,2,0
Kepler-309,M0 V,4713.0,0.72,0.67,-0.574,4.61,3.02,2.8044,10.3493,80.77039,544.568,1,2,0
Kepler-31,,6340.0,1.22,1.21,0.301,4.7,0.28,1.40526,11.95711,78.62701,1664.64,1,3,0
Kepler-310,,5797.0,0.88,0.91,-0.239,4.52,1.9,10.54459,15.67406,78.12993,602.268,1,3,0
Kepler-311,,5905.0,1.19,1.08,0.193,4.31,1.95,1.01776,20.02259,76.49308,778.654,1,2,0
Kepler-312,,6115.0,1.47,1.2,0.598,4.19,1.48,0.30899,7.582603,77.11921,797.72,1,2,0
Kepler-313,,5727.0,1.54,1.08,0.36,4.13,6.61,0.53698,10.76949,82.64384,,1,2,0
Kepler-314,,5378.0,0.95,1.02,-0.226,4.46,2.4,1.49432,9.805461,75.42936,268.881,1,2,0
Kepler-315,,5796.0,1.04,0.98,0.004,4.38,4.9,0.039810000000000005,8.270197999999999,77.77235,1160.63,1,2,0
Kepler-316,,4204.0,0.52,0.59,-0.9359999999999999,4.74,3.31,5.73497,13.25896,76.07627,384.93800000000005,1,2,0
Kepler-317,,5497.0,0.94,0.86,-0.20800000000000002,4.49,3.72,1.48079,8.1882,72.81064,940.584,1,2,0
Kepler-318,,5746.0,1.19,1.02,0.004,4.33,1.62,2.1145,9.687147,80.95198,489.14099999999996,1,2,0
Kepler-319,,5526.0,0.9,0.96,-0.18100000000000002,4.49,3.55,3.64696,12.75375,71.32163,503.436,1,3,0
Kepler-32,M1 V,3900.0,0.53,0.58,-1.2919999999999998,4.64,2.69,4.21511,9.962228999999999,80.53914,323.847,1,5,0
Kepler-320,,6435.0,1.11,1.33,0.27899999999999997,4.42,2.14,0.9315700000000001,12.60394,78.66506,826.613,1,2,0
Kepler-321,,5740.0,1.19,1.03,-0.008,4.3,2.09,1.4788,10.90817,77.21797,384.542,1,2,0
Kepler-322,,5388.0,0.89,0.92,-0.28800000000000003,4.5,14.0,2.1710599999999998,19.58669,73.51644,400.48,1,2,0
Kepler-323,,5987.0,1.18,1.09,0.151,4.31,3.96,1.16534,10.24014,70.69549,454.88300000000004,1,2,0
Kepler-324,,5194.0,0.84,0.87,-0.308,4.53,0.8,2.04467,18.131510000000002,80.09257,501.574,1,2,0
Kepler-325,,5752.0,1.0,0.92,-0.255,4.41,8.2,7.88553,16.18134,81.11486,823.242,1,3,0
Kepler-326,,5105.0,0.8,0.85,-0.157,4.56,14.0,2.5020599999999997,11.836910000000001,78.86023,487.675,1,3,0
Kepler-327,,3799.0,0.49,0.59,-1.26,4.76,3.02,3.7738699999999996,12.04237,76.56623,241.987,1,3,0
Kepler-328,,6064.0,1.06,1.15,0.44,4.44,2.57,0.02146,8.070333999999999,73.99953000000001,2213.19,1,2,0
Kepler-329,,4257.0,0.52,0.6,-0.971,4.74,3.47,4.7294599999999996,8.432348,79.85394000000001,439.719,1,2,0
Kepler-33,,5904.0,1.82,1.29,0.556,4.03,4.27,0.3,15.134120000000001,77.26286999999999,1209.16,1,5,0
Kepler-330,,5117.0,0.72,0.79,-0.442,4.64,0.7,2.75123,15.059460000000001,75.93703000000001,717.5269999999999,1,2,0
Kepler-331,,4347.0,0.49,0.65,-0.784,4.77,1.2,6.72352,10.45299,71.92849,580.119,1,3,0
Kepler-332,,4955.0,0.72,0.8,-0.584,4.61,2.82,4.39175,17.20384,77.95402,344.19,1,3,0
Kepler-333,,4259.0,0.53,0.6,-0.9279999999999999,4.73,3.24,2.3473900000000003,10.86398,73.54715,324.413,2,2,0
Kepler-334,,5828.0,1.07,1.07,0.055999999999999994,4.38,1.6,1.51962,16.79192,77.79026,426.59,1,3,0
Kepler-335,,5877.0,1.85,1.03,0.578,4.02,4.37,0.41998,10.49531,78.91532,1278.97,1,2,0
Kepler-336,,5867.0,1.3,1.09,0.26,4.26,4.9,0.67596,12.43413,73.24047,768.86,1,3,0
Kepler-337,,5684.0,1.76,1.05,0.48100000000000004,4.0,8.2,0.23495,14.982470000000001,78.6429,677.975,1,2,0
Kepler-338,,5923.0,1.74,1.2,0.586,4.02,4.79,0.21664,17.24448,70.48305,552.798,1,4,0
Kepler-339,,5631.0,0.8,0.93,-0.313,4.59,4.37,1.7952400000000002,13.515720000000002,80.80074,616.637,1,3,0
Kepler-34,,5913.0,1.16,1.05,0.17300000000000001,4.33,,,9.890065,78.33870999999999,1800.82,2,1,0
Kepler-340,,6620.0,1.85,1.65,0.773,4.06,1.29,0.38998,8.12813,74.30416,808.762,1,2,0
Kepler-341,,6012.0,1.02,1.0,0.127,4.44,3.6,0.6634899999999999,13.59084,75.11192,1047.03,1,4,0
Kepler-342,,6175.0,1.47,1.26,0.425,4.19,2.04,0.49444,13.177220000000002,79.00789,781.6110000000001,1,4,0
Kepler-343,,5807.0,1.43,1.08,0.21600000000000003,4.18,2.9,0.29453,11.757019999999999,74.82502,927.193,1,2,0
Kepler-344,,5774.0,0.98,0.93,-0.185,4.45,6.6,6.56772,13.11311,78.581,1002.94,1,2,0
Kepler-345,,4504.0,0.62,0.61,-0.841,4.68,2.75,7.238339999999999,11.2648,79.12546999999999,,1,2,0
Kepler-346,,6033.0,1.02,0.95,-0.153,4.46,1.7,11.79405,15.85796,77.06755,984.105,1,2,0
Kepler-347,,6088.0,1.0,1.05,0.342,4.47,0.3,0.14332,16.35839,80.44865,1298.88,1,2,0
