star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
K2-255,,4676,0.69,0.71,-0.72,4.62,,1.94835,59.36886,297.1517,191.608,1,1,0
K2-256,,5219,0.78,0.84,-0.465,4.58,,3.60257,60.1141,289.538,564.693,1,1,0
K2-257,,3725,0.5,0.52,-1.381,4.76,,5.56654,60.58537,293.5783,64.0065,1,1,0
K2-258,,6351,1.31,1.21,0.272,4.29,,0.566,61.26651,292.0079,661.873,1,1,0
K2-259,,6059,1.13,1.14,0.179,4.39,,1.00719,63.78687,289.117,416.457,1,1,0
K2-26,M1.0 V,3785,0.52,0.56,-1.31,4.72,1,3.92,3.901587,187.222,99.0504,1,1,0
K2-260,F6 V,6367,1.69,1.39,0.627,4.15,1.9,0.4005,-13.94234,185.3431,663.834,1,1,0
K2-261,G7 IV/V,5537,1.65,1.1,0.363,4.21,8.8,0.35,50.89484,250.8831,213.283,1,1,0
K2-263,G9 V,5368,0.85,0.88,-0.26,4.51,7,2.02,30.65637,210.1039,162.481,1,1,0
K2-264,M2.5 V,3660,0.47,0.5,-1.481,4.78,,6.61,33.60747,206.3717,185.605,1,2,0
K2-265,G8 V,5477,0.98,0.92,-0.18,4.42,9.7,0.98,-58.65435,50.42183,138.671,2,1,0
K2-266,,4285,0.7,0.69,-0.823,4.58,,2.79,47.48287,245.0448,77.5586,2,4,0
K2-268,,5068,0.78,0.84,-0.441,4.59,,,32.70265,216.0731,327.783,1,2,0
K2-269,,6209,1.45,1.16,0.468,4.18,,1.13,30.02237,213.1509,360.76,1,1,0
K2-27,,5248,0.89,0.87,-0.27,4.48,10.3,2.04,56.98696,261.0273,249.645,3,1,0
K2-270,,4877,0.77,0.85,-0.519,4.59,,,31.22804,213.0909,280.518,1,2,0
K2-271,,5644,0.99,0.83,-0.05,4.37,,2.284,26.85612,207.7892,564.454,1,1,0
K2-272,,5419,0.81,0.81,-0.302,4.53,,2.577,33.96437,209.3073,423.065,1,1,0
K2-273,,5200,0.84,0.9,-0.353,4.55,,0.037,31.96899,206.5206,308.105,1,1,0
K2-274,,5065,0.74,0.81,-0.509,4.61,,2.98,32.01496,204.7937,228.327,1,1,0
K2-275,,4812,0.73,0.79,-0.593,4.61,,2.73722,34.58082,205.8239,123.438,1,2,0
K2-276,,5139,0.85,0.82,-0.405,4.49,,0.505,29.84639,201.128,488.152,1,1,0
K2-277,,5741,0.97,1.02,-0.052,4.48,,6.936,46.02644,315.6641,113.123,1,1,0
K2-278,,6747,1.61,1.4,0.399,4.17,,0.413,47.1514,317.8845,786.439,1,1,0
K2-279,,5558,0.86,0.79,-0.205,4.46,,1.13,54.88191,323.8515,182.983,1,1,0
K2-28,M4,3214,0.29,0.26,-1.94,4.93,,15.2,-49.89484,54.45742,62.9969,1,1,0
K2-280,,5742,1.28,1.11,0.206,4.26,,0.259,-17.32243,16.32383,391.537,1,1,0
K2-281,,4812,0.76,0.82,-0.554,4.59,,4.354,-55.4482,128.8295,458.139,1,1,0
K2-282,,,1.01,0.94,-0.13,,,,-54.87205,123.9173,496.289,1,2,0
K2-283,,5060,0.82,0.89,-0.4,4.56,,2.861,-53.17739,123.4828,402.915,1,1,0
K2-284,,4140,0.61,0.63,-1.013,4.67,0.12,3.91,-10.25305,183.7238,107.272,1,1,0
K2-285,K2 V,4975,0.79,0.83,-0.466,4.4,,2.512,-53.68453,80.67497,154.961,1,4,0
K2-286,M0 V,3926,0.62,0.64,-1.046,4.7,,,31.08251,349.5016,76.1486,1,1,0
K2-287,,5695,1.07,1.06,0.036,4.4,4.5,1.217,27.06968,345.0435,158.335,1,1,0
K2-288 B,M3 V,3341,0.32,0.33,-1.93,4.96,1,14.2,-28.64084,169.9987,65.6138,2,1,0
K2-289,,5529,1.02,0.95,-0.053,4.39,,1.24,22.45098,0.0725385,274.3,1,1,0
K2-29,G7 V,5358,0.86,0.94,-0.295,4.54,2.6,2.9,-19.55038,170.5136,178.475,2,1,0
K2-290,,6302,1.51,1.19,0.512,4.23,4,0.485,27.59959,348.0523,272.909,3,2,0
K2-291,,5520,0.9,0.93,-0.166,4.5,3.72,1.77,-11.58141,181.1785,90.0562,1,1,0
K2-292,G3 V,5725,1.09,1,0.061,4.33,6.8,1.14,50.98847,322.7552,114.293,1,1,0
K2-293,,5532,0.95,0.96,-0.12,4.52,,,-60.7805,75.33146,392.251,1,1,0
K2-294,,5612,1.2,0.99,0.11,4.2,,,-62.24674,73.80622,373.078,1,1,0
K2-295,K5 V,4444,0.7,0.74,-0.763,4.63,,3.043,-55.43131,134.8025,232.801,1,1,0
K2-3,M0.0&plusmn0.5 V,3896,0.56,0.6,-1.15,4.73,1,5.05,55.25014,264.9866,44.0727,1,3,0
K2-30,G6 V,5425,0.84,0.9,-0.256,4.54,3.9,2.11,-27.54962,164.5013,333.042,1,1,0
K2-308,,6100,1.24,1.09,0.283,3.94,,,-13.02962,186.5429,1314.53,1,1,0
K2-31,G7 V,5280,0.78,0.91,-0.11,4.6,,1.19289,18.27528,352.9952,110.527,2,1,0
K2-315,M(3.5+/-0.5) V,3300,0.2,0.17,-2.387,5.09,1,32.6,31.76724,342.4318,56.9686,1,1,0
K2-316,,3436,0.38,0.41,-1.74,4.89,,,26.05426,344.8257,112.486,1,2,0
K2-317,,3387,0.38,0.4,-1.77,4.88,,,30.70087,342.3077,176.291,1,1,0
K2-318,,3851,0.55,0.56,-1.22,4.7,,,31.08938,348.1236,147.866,1,1,0
K2-319,,5440,0.9,0.95,-0.196,4.51,,,55.34338,252.4509,209.071,1,1,0
K2-32,G9 V,5415,0.84,0.86,-0.257,4.49,7.9,2,15.80172,0.5460506,157.682,2,4,0
K2-320,,3157,0.3,0.12,-2.09,4.55,,,54.35464,245.3522,108.74,1,1,0
K2-321,,3855,0.58,0.6,-1.17,4.68,,,47.32079,241.808,77.6888,1,1,0
K2-322,,4141,0.6,0.63,-1.02,4.68,,,48.8717,239.346,123.415,1,1,0
K2-323,,3710,0.55,0.48,-1.29,4.63,,,52.01171,240.0725,118.318,1,1,0
K2-324,,3752,0.51,0.52,-1.34,4.74,,,50.91396,237.6264,136.667,1,1,0
K2-325,,3287,0.3,0.27,-2.03,4.84,,,-63.5362,76.72023,111.638,1,1,0
K2-326,,3924,0.69,0.51,-0.995,4.46,,,-54.94699,83.82203,282.308,1,1,0
K2-33,M3.3,3540,1.05,0.56,-0.824,4.06,0.009,0.72,23.10052,354.4205,139.268,1,1,0
K2-34,F,6071,1.44,1.15,0.4,4.18,2.88,0.675,31.13432,202.1388,348.646,1,1,0
K2-35,K4 V,4402.71,0.62,0.7,-0.719,4.7,,2.02725,56.17442,258.9286,252.596,1,2,0
K2-36,K2 V,4916,0.72,0.79,-0.57,4.62,1.4,2.99,57.73786,254.9762,109.749,1,2,0
K2-37,G3 V,5413,0.85,0.9,-0.252,4.52,,,18.7707,350.7368,179.943,1,3,0
K2-38,G2 V,5757,1.38,2.24,0.276,4.35,,1.21,22.12074,349.6288,192.69,1,2,0
K2-39,,4881,2.97,0.66,0.655,3.44,3.09,0.04,-52.74741,55.42721,307.47,1,1,0
K2-4,,4014.73,0.57,0.64,-0.915,4.85,,2.81523,54.37615,270.7547,231.828,1,1,0
K2-42,,4613,0.64,0.7,-0.772,4.66,,,54.10501,274.6549,396.913,1,1,0
K2-43,,3840.6,0.54,0.57,-1.24,4.68,,4.39884,51.36061,262.8974,182.536,1,2,0
K2-44,,5912,1.58,1.15,0.44,4.1,,,55.22477,268.4698,476.703,1,1,0
K2-45,,4103,0.45,0.5,-0.712,4.82,,2.12887,53.45095,261.4856,495.317,1,1,0
K2-46,,6256,1.29,0.96,0.362,4.2,,,56.74211,267.3878,449.237,1,1,0
K2-47,,5054,0.76,0.75,-0.469,4.54,,,56.35143,255.1035,349.881,1,1,0
K2-48,,4899,0.73,0.77,-0.558,4.6,,,61.27415,266.193,313.764,1,1,0
K2-49,,4175,0.45,0.51,-1.26,4.81,,,62.07024,268.1185,457.125,1,1,0
K2-5,K7.5 V,3930,0.57,0.61,-1.16,4.71,,,53.17255,261.144,202.943,1,2,0
K2-50,,,0.63,0.61,-1.03,,,,59.32253,252.2711,257.443,1,2,0
K2-52,,7147,2.19,1.69,1.05,3.98,,0.22,16.53236,352.6268,1038.41,1,1,0
K2-53,,5263,0.81,0.85,-0.579,4.55,,2.29,21.27289,354.6315,138.018,1,1,0
K2-54,,3798,0.38,0.42,-1.56,4.89,,,-56.53533,42.1901,174.955,1,1,0
K2-55,,4456,0.63,0.7,-0.784,4.67,,2.35056,-52.63222,39.93338,159.522,1,1,0
K2-57,,4434,0.62,0.68,-0.871,4.68,,,-59.00527,51.74168,264.213,1,1,0
K2-58,,5413,0.86,0.89,-0.242,4.52,,2.00934,-51.37973,44.72127,181.746,1,3,0
K2-59,,5055,0.73,0.77,-0.502,4.59,,,-55.79735,48.55525,311.313,1,2,0
K2-6,,5850,0.96,0.97,-0.011,4.4,,,58.349,274.0881,316.819,1,1,0
K2-60,G4 V,5500,1.12,0.97,0.282,4.07,10,0.99,-55.37012,48.74588,491.87,1,1,0
K2-61,,6293,1.36,1.21,-0.015,4.25,,1.43264,-56.20049,49.89606,405.732,1,1,0
K2-62,,4880,0.73,0.77,-0.564,4.6,,3.00696,-50.9978,47.74934,112.467,1,2,0
K2-63,,6771,1.63,1.4,0.702,4.15,,,-50.13293,47.23481,517.534,1,2,0
